start,iteration,value,g_norm
3,1,-4.996237444461e-01,6.912689e-03
3,2,-4.999682808856e-01,5.212044e-04
3,3,-5.000000413177e-01,1.137928e-05
3,4,-5.051753370463e-01,5.614823e-02
3,5,-5.051753373634e-01,5.614958e-02
3,6,-5.156211768710e-01,1.320020e-01
3,7,-5.264205864297e-01,1.851482e-01
3,8,-5.286384188674e-01,1.883579e-01
3,9,-6.022149746664e-01,6.800688e-01
3,10,-6.481999887584e-01,2.493829e-01
3,11,-6.590268813704e-01,3.600701e-01
3,12,-6.651569685285e-01,1.715965e-02
3,13,-6.652775465143e-01,6.203679e-03
3,14,-6.653033897639e-01,1.588776e-02
3,15,-6.663671523512e-01,1.958704e-01
3,16,-6.663844905067e-01,2.030822e-01
3,17,-6.684465552655e-01,1.552891e-01
3,18,-6.704182669295e-01,1.781096e-01
3,19,-6.734714433003e-01,1.556118e-01
3,20,-6.755719495710e-01,4.504831e-02
3,21,-6.756738784286e-01,2.165438e-02
3,22,-6.757282134816e-01,1.107061e-02
3,23,-6.757369859573e-01,5.496090e-04
3,24,-6.757370088782e-01,2.258769e-06
3,25,-6.757370088815e-01,2.770255e-08
