start,kind,iteration,value,g_norm
1,warm,1,-7.952247299721e-01,2.458191e-01
1,warm,2,-8.006229151135e-01,9.478760e-02
1,warm,3,-8.009839414749e-01,4.809570e-02
1,warm,4,-8.012039280221e-01,2.966309e-02
1,warm,5,-8.012432439042e-01,2.770996e-02
1,warm,6,-8.037496088926e-01,5.163574e-02
1,warm,7,-8.040805520716e-01,3.808594e-02
1,warm,8,-8.050967206030e-01,3.491211e-02
1,warm,9,-8.052568761675e-01,5.371094e-02
1,warm,10,-8.059664044546e-01,2.624512e-02
1,warm,11,-8.059664044546e-01,2.624512e-02
2,random,1,-5.000000000000e-01,1.706856e-16
3,random,1,-5.000000319143e-01,4.780616e-06
3,random,2,-5.000002807299e-01,7.777007e-06
3,random,3,-5.000038465787e-01,1.016467e-04
3,random,4,-5.000038648879e-01,1.115227e-04
3,random,5,-5.016620693267e-01,3.387441e-02
3,random,6,-5.031234936615e-01,2.323607e-02
3,random,7,-5.055352647261e-01,3.997081e-02
3,random,8,-5.064417450969e-01,4.834079e-02
3,random,9,-5.151171761227e-01,9.340368e-02
3,random,10,-5.186712667158e-01,1.157347e-01
3,random,11,-5.214978062235e-01,1.316985e-01
3,random,12,-5.314880438095e-01,1.958489e-01
3,random,13,-5.685510745076e-01,3.970182e-01
3,random,14,-5.747235906389e-01,2.283288e-01
3,random,15,-6.001085249489e-01,3.680780e-01
3,random,16,-6.726602357978e-01,2.664118e-01
3,random,17,-6.849252821834e-01,2.061695e-01
3,random,18,-7.047069424259e-01,1.664715e-01
3,random,19,-7.139154372246e-01,1.258262e-01
3,random,20,-7.164339670969e-01,1.017765e-01
3,random,21,-7.188968336111e-01,8.613671e-02
3,random,22,-7.218316840185e-01,5.360697e-02
3,random,23,-7.227087898486e-01,2.726860e-02
3,random,24,-7.255714530252e-01,6.937962e-02
3,random,25,-7.262757873871e-01,7.016768e-02
3,random,26,-7.264813299792e-01,5.521581e-02
3,random,27,-7.268565775199e-01,5.423345e-02
3,random,28,-7.298126392608e-01,4.161067e-02
3,random,29,-7.319491311607e-01,3.249241e-02
3,random,30,-7.320875062926e-01,3.533741e-02
3,random,31,-7.321119118127e-01,5.348166e-02
3,random,32,-7.321287234594e-01,4.469021e-02
3,random,33,-7.321287234594e-01,4.469021e-02
