run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,g_abstol,gamma,beta
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,1,1,2,320,1234,0.652695526988,0.823804,0.582998,45,3,6,true,0,random,1.0e-06,3.59166425408145,2.965492877925421
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,2,1,2,320,1234,0.709563562342,0.003728,0.001961,117,3,11,true,0,warm,1.0e-06,3.500068280562815;3.6647236201636466,2.9461708221406027;0.13170928318101893
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,3,1,2,320,1234,0.744380869190,0.042838,0.031931,199,3,13,true,0,warm,1.0e-06,3.457476492904615;3.6033116303357846;3.644754430749877,2.9456390158169574;0.16230706059144756;3.0291257448444138
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,4,1,2,640,1234,0.768094243166,0.030841,0.030526,54,3,17,true,0,warm,1.0e-06,3.432720970121681;3.5657906038818665;3.5916321710557497;3.632364072394907,2.9494305470098086;0.16462771703680254;2.989538771367662;0.09965862112929358
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,5,1,2,1280,1234,0.785559872701,0.350137,0.125587,253,3,21,true,0,warm,1.0e-06,3.4158616412718565;3.5436958543243233;3.557800039463762;3.5796414586405056;3.6233753736311836,2.9529427635742973;0.16260428628292056;2.9848716647680793;0.14556695824480786;3.05148789965547
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,6,1,2,1280,1234,0.799028052891,4.741464,2.306444,1010,3,69,true,0,warm,1.0e-06,3.403869376573571;3.52794641470954;3.5380530033529163;3.5458389338614213;3.5688397966872665;3.616965831247816,2.9560107318880062;0.15944071164669738;2.985205580774331;0.1527033496853399;3.0014964391972425;0.08242911333800729
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,7,1,2,1280,1234,0.809762160136,149.261539,48.899794,5028,3,41,true,0,warm,1.0e-06,3.394743172144363;3.515706870781751;3.524093312253158;3.5264381850460693;3.534031120760751;3.5606746566186898;3.6127239936693614,2.9588035422034524;0.15626905705791155;2.987468028301537;0.1541655808614878;2.9918842397864074;0.13505088485691094;3.065488556926123
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,8,1,2,1280,1234,0.819083163318,159.345115,95.347144,1496,3,20,true,0,warm,1.0e-06,3.388023973466007;3.5079634251091467;3.517219225543858;3.5170996855519463;3.520822267499281;3.5295351633301486;3.56432923763394;3.6191455108167214,2.95999060635558;0.1540796928775393;2.9888070356421705;0.15554470253294517;2.985462252585186;0.14967404226069106;3.0101169203212814;0.06982657926718128
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,9,1,2,1280,1234,0.846302278844,1232.351786,1231.808943,2217,3,27,true,0,warm,1.0e-06,3.3873259752908287;3.5060482430113957;3.5154667844123932;3.5169533335448198;3.5212880247681064;3.529944576571833;3.5647625716158213;3.621640902096006;3.6184990116446984,2.962885648836972;0.1550028558646061;2.9867039886855906;0.15584493290947354;2.9862520943646373;0.14674580520333297;3.015804832600021;0.05005181469838863;0.0036793156519374223
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,10,1,2,1280,1234,0.500000000348,18.569727,16.357640,6,3,1,true,0,warm,1.0e-06,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012
20260401T031011-k6-d7-p1-11-r2-i320-s1234,experiment,unknown,2026-04-01T03:10:11,3e6815edca4049974246fdcc9493595e63c10a7b,main,true,6,7,11,1,0,1280,1234,0.500000000000,24.350252,15.263832,1,1,0,true,0,warm,1.0e-05,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012;2.086434079035012
20260403T033822-k6-d7-p12-15-r2-i320-s1234,experiment,unknown,2026-04-03T03:38:22,9df295f6a573683c611b3e2f309dbe6ea8f52bac,main,true,6,7,12,1,0,1280,1234,0.500000000000,127.179692,76.588371,1,1,0,true,0,warm,1.0e-04,2.3797803064932537;2.3263607434774176;2.9842167846222574;3.380234583598829;4.911913024218756;2.4361945770039064;4.244450071347319;3.5200784021361273;5.915374010737345;3.7747490115829736;3.7747490115829736;3.7747490115829736,0.7060408045593554;1.427472700531089;1.6507664892133371;1.1568125873448956;2.595627094518949;1.1858083047928636;2.547054832785195;2.2189882186724184;2.1108481415253677;2.086434079035012;2.086434079035012;2.086434079035012
