start,kind,iteration,value,g_norm
1,warm,0,-7.236789788104e-01,1.859042e-01
1,warm,1,-7.320735227497e-01,5.617487e-02
1,warm,2,-7.336347661429e-01,3.774984e-02
1,warm,3,-7.344118023658e-01,3.168062e-02
1,warm,4,-7.350414050969e-01,2.054781e-02
1,warm,5,-7.351685014680e-01,7.885319e-03
1,warm,6,-7.351948572387e-01,5.282905e-03
1,warm,7,-7.352411255174e-01,3.149628e-03
1,warm,8,-7.352516653004e-01,9.015969e-04
1,warm,9,-7.352523151295e-01,6.985989e-04
1,warm,10,-7.352525667496e-01,2.530224e-04
1,warm,11,-7.352526490572e-01,2.348546e-04
1,warm,12,-7.352526872670e-01,7.235381e-05
1,warm,13,-7.352526921755e-01,2.246414e-05
1,warm,14,-7.352526929606e-01,2.446939e-05
1,warm,15,-7.352526922319e-01,4.783988e-06
1,warm,16,-7.352526916275e-01,2.358229e-06
1,warm,17,-7.352526932286e-01,1.674090e-06
1,warm,18,-7.352526909997e-01,7.387134e-07
2,random,0,-5.008081064888e-01,1.901760e-02
2,random,1,-5.561488353511e-01,1.348084e-01
2,random,2,-5.562840647284e-01,1.379061e-01
2,random,3,-5.716097781946e-01,1.561074e-01
2,random,4,-5.872945135930e-01,2.642441e-01
2,random,5,-6.380735140986e-01,3.951235e-01
2,random,6,-6.546793378913e-01,3.634749e-01
2,random,7,-6.723464999621e-01,1.447023e-01
2,random,8,-6.812320635433e-01,8.883263e-02
2,random,9,-6.835637308124e-01,4.931570e-02
2,random,10,-6.850811463101e-01,2.869609e-02
2,random,11,-6.852415042523e-01,1.281691e-02
2,random,12,-6.853565505202e-01,1.775392e-02
2,random,13,-6.858836729103e-01,5.471859e-02
2,random,14,-6.897385569534e-01,5.873642e-02
2,random,15,-6.920583549876e-01,6.325892e-02
2,random,16,-6.940157744720e-01,3.301066e-02
2,random,17,-6.946252394308e-01,2.562922e-02
2,random,18,-6.949810704377e-01,1.203067e-02
2,random,19,-6.950951698208e-01,2.114303e-02
2,random,20,-6.952286957396e-01,1.934756e-02
2,random,21,-6.954262889279e-01,8.926796e-03
2,random,22,-6.955192968318e-01,9.285742e-03
2,random,23,-6.955812746517e-01,8.608223e-03
2,random,24,-6.956274861338e-01,4.644306e-03
2,random,25,-6.956451710098e-01,3.039871e-03
2,random,26,-6.956587858078e-01,3.861038e-03
2,random,27,-6.957071556921e-01,9.477974e-03
2,random,28,-6.957284703640e-01,4.911493e-03
2,random,29,-6.957429302204e-01,1.441831e-03
2,random,30,-6.957439225962e-01,6.523556e-04
2,random,31,-6.957441699239e-01,5.780372e-04
2,random,32,-6.957452410447e-01,1.726512e-03
2,random,33,-6.957483141901e-01,1.713826e-03
2,random,34,-6.957508513569e-01,8.576575e-04
2,random,35,-6.957511985933e-01,6.736799e-04
2,random,36,-6.957513544197e-01,2.802977e-04
2,random,37,-6.957514222956e-01,1.327390e-04
2,random,38,-6.957514365971e-01,2.241002e-05
2,random,39,-6.957514403004e-01,9.911932e-06
2,random,40,-6.957514377852e-01,3.690498e-06
2,random,41,-6.957514378859e-01,2.139937e-06
2,random,42,-6.957514404701e-01,4.213891e-07
3,random,0,-4.998248273171e-01,5.632627e-03
3,random,1,-5.003217780302e-01,3.002241e-03
3,random,2,-5.021354943682e-01,2.354722e-02
3,random,3,-5.080005368566e-01,1.227907e-01
3,random,4,-5.090864408521e-01,8.715450e-02
3,random,5,-5.127236597486e-01,9.724697e-02
3,random,6,-5.655874862057e-01,2.505066e-01
3,random,7,-6.121712226232e-01,3.539857e-01
3,random,8,-6.296875097613e-01,2.020117e-01
3,random,9,-6.333132085386e-01,1.608619e-01
3,random,10,-6.457893583679e-01,1.432523e-01
3,random,11,-6.533897273128e-01,1.537564e-01
3,random,12,-6.585050266017e-01,1.054149e-01
3,random,13,-6.709817984602e-01,9.042874e-02
3,random,14,-6.756459413113e-01,8.345949e-02
3,random,15,-6.772421815201e-01,3.380829e-02
3,random,16,-6.783984752606e-01,4.753257e-02
3,random,17,-6.792991279068e-01,2.476537e-02
3,random,18,-6.797380917320e-01,3.027379e-02
3,random,19,-6.816433246603e-01,5.388067e-02
3,random,20,-6.824922352702e-01,3.238938e-02
3,random,21,-6.829696914295e-01,1.959663e-02
