start,iteration,value,g_norm
3,0,-5.000599151726e-01,1.186802e-03
3,1,-5.032788040825e-01,2.414216e-02
3,2,-5.032825591092e-01,2.515726e-02
3,3,-5.108380978019e-01,4.790453e-02
3,4,-5.117236679804e-01,7.690906e-02
3,5,-5.166771447339e-01,3.739060e-02
3,6,-5.345052602662e-01,6.879587e-02
3,7,-5.559317969407e-01,2.043212e-01
3,8,-5.743292886398e-01,1.404140e-01
3,9,-6.084123286657e-01,1.748278e-01
3,10,-6.158170835977e-01,2.051806e-01
3,11,-6.308049826862e-01,1.208964e-01
3,12,-6.489323113096e-01,1.230357e-01
3,13,-6.536512091042e-01,1.405816e-01
3,14,-6.571184525934e-01,1.290045e-01
3,15,-6.620071985710e-01,7.502594e-02
3,16,-6.640939989071e-01,3.373358e-02
3,17,-6.645011548693e-01,2.776844e-02
3,18,-6.646809387718e-01,1.722859e-02
3,19,-6.648885733296e-01,1.529798e-02
3,20,-6.650447084580e-01,9.110840e-03
3,21,-6.650819830127e-01,3.031656e-03
3,22,-6.650897115244e-01,2.899429e-03
3,23,-6.650972566413e-01,4.563940e-03
3,24,-6.653138114969e-01,1.085786e-02
3,25,-6.653441705233e-01,7.898909e-03
3,26,-6.654195849515e-01,8.191955e-03
3,27,-6.654497936659e-01,6.204589e-03
3,28,-6.654613959356e-01,3.483220e-03
3,29,-6.654637545330e-01,1.128575e-03
3,30,-6.654642649331e-01,7.035052e-04
3,31,-6.654644770855e-01,5.675312e-04
3,32,-6.654694006170e-01,2.042121e-03
3,33,-6.654772117153e-01,6.106195e-03
3,34,-6.654970200195e-01,3.435104e-03
3,35,-6.655014429998e-01,1.310712e-03
3,36,-6.655024614887e-01,4.359394e-04
3,37,-6.655027605379e-01,6.162194e-04
3,38,-6.655053565734e-01,2.903039e-03
3,39,-6.655128224961e-01,1.909529e-03
3,40,-6.655155615293e-01,2.230018e-03
3,41,-6.655193080740e-01,2.000347e-03
3,42,-6.655219508797e-01,3.852723e-03
3,43,-6.655256286621e-01,2.676495e-03
3,44,-6.655281496337e-01,2.527148e-03
3,45,-6.655302834313e-01,1.081911e-03
3,46,-6.655307758238e-01,5.745090e-04
3,47,-6.655309335547e-01,6.440490e-04
3,48,-6.655310859462e-01,4.377988e-04
3,49,-6.655311076558e-01,1.524968e-04
3,50,-6.655311186406e-01,6.867202e-05
3,51,-6.655310772176e-01,3.876737e-05
3,52,-6.655311438795e-01,2.649607e-05
3,53,-6.655311199198e-01,3.159869e-05
3,54,-6.655311448100e-01,1.136930e-04
3,55,-6.655311491285e-01,2.363798e-04
3,56,-6.655312369647e-01,3.973843e-04
3,57,-6.655313036529e-01,3.657735e-04
3,58,-6.655314862857e-01,5.197089e-04
3,59,-6.655315878481e-01,5.836349e-04
3,60,-6.655316889977e-01,5.614126e-04
3,61,-6.655317549247e-01,7.733731e-04
3,62,-6.655320019941e-01,4.512376e-04
3,63,-6.655320415442e-01,1.345223e-04
3,64,-6.655320649278e-01,1.729922e-04
3,65,-6.655321173071e-01,3.255134e-04
3,66,-6.655321760331e-01,4.924720e-04
3,67,-6.655322253233e-01,3.858856e-04
3,68,-6.655322857713e-01,4.052033e-04
3,69,-6.655322781338e-01,3.939195e-04
3,70,-6.655323587341e-01,2.682582e-04
3,71,-6.655323946642e-01,2.089881e-04
3,72,-6.655324432667e-01,2.150952e-04
3,73,-6.655324846325e-01,1.936422e-04
3,74,-6.655325155110e-01,3.703737e-04
3,75,-6.655325697722e-01,4.468766e-04
3,76,-6.655326767121e-01,3.145730e-04
3,77,-6.655328346774e-01,4.329123e-04
3,78,-6.655328424487e-01,4.471389e-04
3,79,-6.655329261338e-01,3.778919e-04
3,80,-6.655330886140e-01,3.885589e-04
3,81,-6.655331595119e-01,4.714812e-04
3,82,-6.655333631725e-01,1.022447e-03
3,83,-6.655335025288e-01,4.054646e-04
3,84,-6.655335591674e-01,2.324142e-04
3,85,-6.655335962135e-01,3.194346e-04
3,86,-6.655336274024e-01,2.881619e-04
3,87,-6.655336404500e-01,2.345621e-04
3,88,-6.655337177887e-01,2.925337e-04
3,89,-6.655337930432e-01,4.775018e-04
3,90,-6.655338649669e-01,4.271884e-04
3,91,-6.655340431277e-01,6.512541e-04
3,92,-6.655341965623e-01,6.696815e-04
3,93,-6.655344232354e-01,6.228609e-04
3,94,-6.655345497619e-01,9.461684e-04
3,95,-6.655346554499e-01,2.639755e-04
3,96,-6.655346682991e-01,3.617595e-04
3,97,-6.655347449079e-01,3.635025e-04
3,98,-6.655347716831e-01,3.460165e-04
3,99,-6.655348351094e-01,3.112385e-04
3,100,-6.655348726850e-01,3.535398e-04
3,100,-6.655348726850e-01,3.535398e-04
3,101,-6.655348898401e-01,2.507519e-04
3,102,-6.655349257978e-01,1.483120e-04
3,103,-6.655348947524e-01,9.266020e-05
3,104,-6.655349329633e-01,9.800020e-05
3,105,-6.655349302960e-01,9.544823e-05
3,106,-6.655349708142e-01,3.149840e-04
3,107,-6.655350401196e-01,1.822124e-04
3,108,-6.655351016690e-01,3.523409e-05
3,109,-6.655350985363e-01,1.718206e-05
3,110,-6.655351034771e-01,2.350093e-05
3,111,-6.655351227318e-01,3.461409e-04
3,112,-6.655353447109e-01,5.238206e-04
3,113,-6.655355209485e-01,6.395735e-04
3,114,-6.655355802564e-01,5.110685e-05
3,115,-6.655355765713e-01,6.247208e-05
3,116,-6.655355822846e-01,3.745449e-05
3,117,-6.655355643403e-01,5.370469e-05
3,118,-6.655355780558e-01,2.397675e-04
3,119,-6.655356682689e-01,3.618178e-04
3,120,-6.655358527395e-01,5.536195e-04
3,121,-6.655362291697e-01,4.513892e-04
