k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
k D p value
3 4 1 0.676056660061
3 4 2 0.739122784672
3 4 3 0.777144062579
3 4 4 0.802204018074
3 4 5 0.820480966923
3 4 6 0.834391132449
3 4 7 0.845313272926
3 4 8 0.854102061290
3 4 9 0.861321028961
3 4 10 0.867359618593
3 4 11 0.872489725464
3 5 1 0.655445198972
3 5 2 0.711560547762
3 5 3 0.745876655551
3 5 4 0.768844090898
3 5 5 0.785709743790
3 5 6 0.798643367187
3 5 7 0.808900424026
3 5 8 0.817250854163
3 5 9 0.824202501328
3 5 10 0.830103439004
3 6 1 0.640718868498
3 6 2 0.691798945824
3 6 3 0.723248754631
3 6 4 0.744482066639
3 6 5 0.760163659266
3 6 6 0.772240853017
3 6 7 0.781862673769
3 6 8 0.789729626457
3 6 9 0.796296683237
3 6 10 0.801874702300
3 7 1 0.629519381067
3 7 2 0.676725383483
3 7 3 0.690049896619
3 7 4 0.707849354346
3 7 5 0.717821118006
3 7 6 0.732884721783
3 7 7 0.745538473418
3 7 8 0.755518998198
3 8 1 0.620630694864
3 8 2 0.664733284711
3 8 3 0.692062773064
3 8 4 0.710680775126
3 8 5 0.724527039205
3 8 6 0.735252695827
3 8 7 0.743840537901
3 8 8 0.750893246615
3 8 9 0.756813412291
4 5 1 0.666029441080
4 5 2 0.727176266715
4 5 3 0.764453585874
4 5 4 0.789496028106
4 5 5 0.807821743594
4 5 6 0.821877187175
4 5 7 0.833005591607
4 5 8 0.842037153480
4 5 9 0.849518369393
4 6 1 0.650449645147
4 6 2 0.706214179347
4 6 3 0.740484176043
4 6 4 0.763757896260
4 6 5 0.780932593685
4 6 6 0.794189581095
4 6 7 0.804756460561
4 6 8 0.813390728582
4 6 9 0.820605414999
4 6 10 0.826853317971
4 7 1 0.638570346665
4 7 2 0.690169240157
4 7 3 0.722030054120
4 7 4 0.743813356783
4 7 5 0.759980131544
4 7 6 0.772513069996
4 7 7 0.782544205234
4 7 8 0.790780754593
4 7 9 0.797711990787
4 7 10 0.804449769314
4 8 1 0.629124931820
4 8 2 0.677373882496
4 8 3 0.707259474724
4 8 4 0.727784152190
4 8 5 0.743078062226
4 8 6 0.754972458811
4 8 7 0.764521056142
4 8 8 0.772395707725
4 8 9 0.779350678592
4 8 10 0.797071253550
4 8 11 1.597521768778
4 8 12 0.500000000027
4 8 13 0.500000000000
5 6 1 0.658625024633
5 6 2 0.717596564136
5 6 3 0.753676130933
5 6 4 0.778129588987
5 6 5 0.796091882450
5 6 6 0.809911709556
5 6 7 0.820884792701
5 6 8 0.829834988235
5 6 9 0.837011297324
5 6 10 0.852930032871
5 7 1 0.646186354604
5 7 2 0.700817902678
5 7 3 0.734428791029
5 7 4 0.757393337275
5 7 5 0.774382304123
5 7 6 0.787526123475
5 7 7 0.798026144159
5 7 8 0.806621392933
5 7 9 0.814970005934
5 7 10 0.864085960420
5 7 11 170.902576804039
5 8 1 0.636280516324
5 8 2 0.687409029389
5 8 3 0.718981135454
5 8 4 0.740669009249
5 8 5 0.756793863728
5 8 6 0.769319380985
5 8 7 0.779365676982
5 8 8 0.787939273886
5 8 9 0.794470653795
5 8 10 1.013878977100
5 8 11 0.499999920273
5 8 12 -100486866048166602448171958272.000000000000
5 8 13 0.500000000000
5 8 14 0.500000000000
6 7 1 0.652695526988
6 7 2 0.709563562342
6 7 3 0.744380869185
6 7 4 0.768094242825
6 7 5 0.785559889308
6 7 6 0.799027993793
6 7 7 0.809751963849
6 7 8 0.819282871487
6 7 9 0.846686598714
6 7 10 7.711354581627
6 8 1 0.642402453911
6 8 2 0.695667219631
6 8 3 0.728416690695
6 8 4 0.750860989207
6 8 5 0.767488705205
6 8 6 0.780372162880
6 8 7 0.790703258025
6 8 8 0.800834611529
6 8 9 0.861686770735
6 8 10 0.500000000017
6 8 11 0.500000000000
6 8 12 0.500000000000
6 8 13 0.500000000000
6 8 14 0.500000000000
7 8 1 0.647730808612
7 8 2 0.702648639882
7 8 3 0.736252836860
7 8 4 0.759208520320
7 8 5 0.776148485417
7 8 6 0.789241443381
7 8 7 0.799904225463
7 8 8 0.817282355859
7 8 9 2.225963324367
7 8 10 0.500000000000
7 8 11 0.500000000000
7 8 12 0.500000000000
7 8 13 0.500000000000
7 8 14 0.500000000000
