k,D,best_p,ctilde,gamma,beta
3,4,13,0.880732724898,2.9259240447541752;0.4063401256928396;0.4513417506583604;0.47274681062141793;0.48161656854148177;0.48674832574684057;0.49372631571338044;0.5014696778091581;0.511630003989789;0.5310145803831907;0.5782399718531627;0.6510096305686411;0.7529080023751171,1.9509369783464787;0.3091208329827633;0.2868451526519101;0.27977384718906523;0.2761445353676687;0.27466681388171077;0.27337828819697624;0.26917572429081366;0.2615467055727334;0.24748930718256765;0.2194996827237565;0.17667322880083194;0.08214330466175507
3,5,13,0.842939019160,3.338850450956096;3.5110132157807294;3.542575718532385;3.557134413791582;3.5666026764264207;3.572884679813694;3.5803022044023063;3.5982089762153193;3.622213140401806;3.6776704909807036;3.7520314606139746;3.833221139741797;3.8377856788298432,2.756638887585415;0.31477667288583533;2.8533889504781107;0.2816697813168935;2.867380920371862;0.2687098421374101;2.877774749505637;0.24399983491020524;2.925598733042194;0.18775585982988435;2.992566348731548;0.11069510031860297;3.0821494034848937
3,6,14,0.770589130208,0.1737061024854345;0.341884894507758;0.3336824113508096;0.3725167393590498;0.3856388923188974;0.3845189904129939;0.4344712839128495;0.44440744096140766;0.4537015011194613;0.5299995374654224;0.608361779176718;0.5239573820394088;0.5459008660983115;0.5770837663112133,0.38392578218562257;0.29871257110589755;0.2830882406595864;0.2106515799779568;0.2657869159190174;0.2256891690824064;0.2712596925256812;0.201970575923991;0.20905235314238566;0.171155771862747;0.11821027311823873;0.045861751243302634;0.04381133637700376;0.04305293160508725
3,7,13,0.858036436291,0.16536103261602142;0.09272212879578944;3.4889538752615112;3.021068508316658;0.5067064269911649;0.36253501040911273;0.3768727207306824;0.39190553586568344;0.42211493232188785;0.47826298218274643;0.5224766542559178;0.5236313232082486;0.5236313232082486,0.8640386334134803;0.49863055479025437;2.617842295707172;2.9507220313545535;0.28757535974707604;0.2818817911108353;0.2679771916610839;0.2494661610892837;0.21393024298195143;0.15166696229886906;0.07367351230542012;0.06148789386746321;0.061487893867463214
3,8,13,0.610845554615,2.980383053135355;0.2897778983800298;0.3083538744670388;0.31578881102152423;0.3249163060875296;0.34379199608278105;0.34493823193757595;0.3742212013003887;0.4174643109224662;0.4672455599132718;0.47544774860364375;0.47640154525935574;0.4763312597959364,1.9540541337739255;0.31202808964239415;0.28415159636644066;0.2695764300104513;0.2698377903353676;0.2576700627768845;0.23647635241535614;0.20998443326693259;0.16998430329075256;0.1116575254585658;0.050875908482275474;0.05008143985696152;0.05007493572735246
4,5,13,0.810109928847,0.23480849331486103;0.39684204675830725;0.424917224832708;0.43160846193606534;0.4387000379575199;0.43852448198651267;0.4407935444519778;0.47567477039217604;0.5101795434532983;0.5726626993592813;0.6434383042077763;0.6473465200831058;0.6473465200831081,1.860397470137685;0.22283478406059948;0.21097703565763518;0.21093450116242932;0.21528930240496089;0.20738574569734872;0.21107376356102633;0.20106117546659724;0.19216843504448886;0.13351618146143554;0.08804406987313601;0.04674445225070405;0.046744452250702645
4,6,13,0.543308132257,3.359772847159216;0.3784320201318338;0.38862641445199764;0.44829243009538616;0.2930979664805664;0.4058956900513297;0.3605980246099403;0.44488153361443916;0.5104232122227312;0.5564625963264765;0.5470850815764496;0.5628437295345761;0.5768936084370051,1.889233414497345;0.2808096546603548;0.2156497982853623;0.19762439717353703;0.23961224113152413;0.25949456548675903;0.2305946645995945;0.21543382873346323;0.15833621727761982;0.10480808987922657;0.03316270170342472;0.04541679090379636;0.03972993515757525
4,7,13,0.500000000001,0.19260674215190104;0.3543242365120889;0.31208394685918955;0.41947915762096993;0.4443464514121596;0.3662753910378171;0.41385595905316525;0.521341140984658;0.48899979926490783;0.34158301382962675;0.5154338858534289;0.49616554249500067;0.49616554249500067,0.2779962531185584;0.2484316830249741;0.21676030462880336;0.09412732443175084;0.11310286451120172;0.1722544687688424;0.2019143352491804;0.20804815980041966;0.10539611798262821;0.059838929895079836;0.018109683419861234;0.03659949140186283;0.03659949140186283
4,8,12,0.500000000027,5.557182026954813;4.145817043962971;0.7922248530748632;5.162735698721718;1.350674258995447;3.5607440772796366;4.717349201931498;3.646798479246435;0.3360542431741038;2.797779841941768;1.4270191238115615;0.49067668087150196,0.5258666134342889;1.717287258899372;0.9212136944245302;2.782402106152098;0.3807640788736073;1.0693284242131647;3.0480178359385484;2.5180896708620857;2.7384340977358868;0.7961932506714433;0.9088457001188743;2.1814693398214153
5,6,12,0.500000061626,3.340538744810391;0.043684900175061436;0.24115455099117264;0.4932518404165283;0.8038244072762505;5.775122208280313;0.10409243179672997;2.345734433734277;3.9619589536945825;3.142726181474503;1.8201091406410852;1.8201091406410852,1.8689893485605917;2.0915557314313764;2.8750544008906687;1.2744488079976641;1.2372788040400597;1.113100566032128;1.1664849482790416;2.7346732838608196;2.2152782656518455;2.5895253431788783;0.05722420883733813;0.05722420883733813
