k,D,p,round,beta
3,4,2,1,1.934388745350
3,4,2,2,0.211457402922
3,4,3,1,1.954568318863
3,4,3,2,0.295471353171
3,4,3,3,0.175917762930
3,4,4,1,1.957896293790
3,4,4,2,0.314795078252
3,4,4,3,0.266139741292
3,4,4,4,0.152954398906
3,4,5,1,1.959636498776
3,4,5,2,0.320727027447
3,4,5,3,0.285707402831
3,4,5,4,0.246706347375
3,4,5,5,0.135405214896
3,4,6,1,1.959437298190
3,4,6,2,0.321698901852
3,4,6,3,0.295008737707
3,4,6,4,0.269590663189
3,4,6,5,0.231272520560
3,4,6,6,0.122224970527
3,4,7,1,1.958663001250
3,4,7,2,0.321287824939
3,4,7,3,0.296920536054
3,4,7,4,0.282698985948
3,4,7,5,0.257966395375
3,4,7,6,0.219056235733
3,4,7,7,0.112476035728
3,4,8,1,1.957501856630
3,4,8,2,0.319651268510
3,4,8,3,0.296809615092
3,4,8,4,0.286117742667
3,4,8,5,0.273956769713
3,4,8,6,0.248903435845
3,4,8,7,0.209130068061
3,4,8,8,0.104999213732
3,4,9,1,1.956109326645
3,4,9,2,0.317592018384
3,4,9,3,0.295328778112
3,4,9,4,0.286771551614
3,4,9,5,0.278894601654
3,4,9,6,0.267142693206
3,4,9,7,0.241408845706
3,4,9,8,0.200786084304
3,4,9,9,0.098962003642
3,4,10,1,1.954664054001
3,4,10,2,0.315369067625
3,4,10,3,0.293297473654
3,4,10,4,0.285795327666
3,4,10,5,0.280316175381
3,4,10,6,0.273564516790
3,4,10,7,0.261413884844
3,4,10,8,0.234926645250
3,4,10,9,0.193555509901
3,4,10,10,0.093893974262
3,4,11,1,1.953227257609
3,4,11,2,0.313133299901
3,4,11,3,0.291064164717
3,4,11,4,0.284049199449
3,4,11,5,0.279870529143
3,4,11,6,0.275774478737
3,4,11,7,0.269218374463
3,4,11,8,0.256359191155
3,4,11,9,0.229155134746
3,4,11,10,0.187141137039
3,4,11,11,0.089524598265
3,4,12,1,1.951776016832
3,4,12,2,0.310961292074
3,4,12,3,0.288811124502
3,4,12,4,0.282031064355
3,4,12,5,0.278457352286
3,4,12,6,0.275812742140
3,4,12,7,0.272058838739
3,4,12,8,0.265368704351
3,4,12,9,0.251786355311
3,4,12,10,0.223927824058
3,4,12,11,0.181376144525
3,4,12,12,0.085690706455
3,4,13,1,1.950936978346
3,4,13,2,0.309120832983
3,4,13,3,0.286845152652
3,4,13,4,0.279773847189
3,4,13,5,0.276144535368
