k,D,p,round,gamma
3,4,2,1,2.719131836850
3,4,2,2,3.862785932585
3,4,3,1,2.780197925128
3,4,3,2,3.765841261739
3,4,3,3,3.870022135985
3,4,4,1,2.817281906868
3,4,4,2,3.705175410580
3,4,4,3,3.783233309563
3,4,4,4,3.874878934432
3,4,5,1,2.842123409112
3,4,5,2,3.669913313045
3,4,5,3,3.726453028813
3,4,5,4,3.789421212089
3,4,5,5,3.879568389791
3,4,6,1,2.860654665198
3,4,6,2,0.500828120556
3,4,6,3,0.551254173817
3,4,6,4,0.590750162123
3,4,6,5,0.649547981341
3,4,6,6,0.742016996826
3,4,7,1,2.875635321974
3,4,7,2,0.479581827181
3,4,7,3,0.526432955985
3,4,7,4,0.555876699052
3,4,7,5,0.590407715847
3,4,7,6,0.649658077381
3,4,7,7,0.744434294100
3,4,8,1,2.887846412048
3,4,8,2,3.603600481699
3,4,8,3,3.649013522427
3,4,8,4,3.674108994303
3,4,8,5,3.694752760168
3,4,8,6,3.729638165240
3,4,8,7,3.790530084596
3,4,8,8,3.886898813957
3,4,9,1,2.898016022762
3,4,9,2,0.447239676418
3,4,9,3,0.492102261782
3,4,9,4,0.515216888845
3,4,9,5,0.530441122445
3,4,9,6,0.548333949157
3,4,9,7,0.585350918766
3,4,9,8,0.648011599243
3,4,9,9,0.745416185769
3,4,10,1,2.906593199874
3,4,10,2,0.434687187389
3,4,10,3,0.479331857933
3,4,10,4,0.501554512315
3,4,10,5,0.514071219342
3,4,10,6,0.525789567732
3,4,10,7,0.543400367505
3,4,10,8,0.582858454999
3,4,10,9,0.647212651025
3,4,10,10,0.745331725074
3,4,11,1,2.913902436208
3,4,11,2,0.423847303542
3,4,11,3,0.468530609389
3,4,11,4,0.490241173621
3,4,11,5,0.501301678835
3,4,11,6,0.509924693809
3,4,11,7,0.520783875900
3,4,11,8,0.538907037721
3,4,11,9,0.580753413631
3,4,11,10,0.646664700745
3,4,11,11,0.745293894819
3,4,12,1,2.920211366003
3,4,12,2,0.414304148087
3,4,12,3,0.459242616508
3,4,12,4,0.480751360360
3,4,12,5,0.490794775878
3,4,12,6,0.497612177566
3,4,12,7,0.504929825855
3,4,12,8,0.515871284853
3,4,12,9,0.534967488903
3,4,12,10,0.579071494670
3,4,12,11,0.646430639637
3,4,12,12,0.745488973382
3,4,13,1,2.925924044754
3,4,13,2,0.406340125693
3,4,13,3,0.451341750658
3,4,13,4,0.472746810621
3,4,13,5,0.481616568541
3,4,13,6,0.486748325747
3,4,13,7,0.493726315713
3,4,13,8,0.501469677809
3,4,13,9,0.511630003990
3,4,13,10,0.531014580383
3,4,13,11,0.578239971853
3,4,13,12,0.651009630569
3,4,13,13,0.752908002375
3,5,2,1,3.514684155220
3,5,2,2,3.770153485798
3,5,3,1,3.461291853703
3,5,3,2,3.684618424966
3,5,3,3,3.768498222273
3,5,4,1,3.428361715439
3,5,4,2,3.632291161405
3,5,4,3,3.694661556412
3,5,4,4,3.770110002483
3,5,5,1,3.405986240483
3,5,5,2,3.600489608586
3,5,5,3,3.644401839477
3,5,5,4,3.697608527525
3,5,5,5,3.771799684868
3,5,6,1,3.389372495072
3,5,6,2,3.576546070895
3,5,6,3,3.615247597495
3,5,6,4,3.646445822761
3,5,6,5,3.697727096168
3,5,6,6,3.773504652061
3,5,7,1,3.376322849611
3,5,7,2,3.558180115243
3,5,7,3,3.593878076047
3,5,7,4,3.617912582993
3,5,7,5,3.644811771534
3,5,7,6,3.697898454056
3,5,7,7,3.775318583431
3,5,8,1,3.365869961059
3,5,8,2,3.543303140953
3,5,8,3,3.577783235093
3,5,8,4,3.597897375946
3,5,8,5,3.615771144469
3,5,8,6,3.642958061626
3,5,8,7,3.699008292925
3,5,8,8,3.777496082637
3,5,9,1,3.357344222104
3,5,9,2,3.531106072447
3,5,9,3,3.565023308736
3,5,9,4,3.583292589331
3,5,9,5,3.596317948909
3,5,9,6,3.612983581836
3,5,9,7,3.642234797202
3,5,9,8,3.701626990647
3,5,9,9,3.780694821309
3,5,10,1,3.350317958684
3,5,10,2,3.520961807657
3,5,10,3,3.554689075440
3,5,10,4,3.571966863137
3,5,10,5,3.582445958968
3,5,10,6,3.593698817739
3,5,10,7,3.611285009757
3,5,10,8,3.643140159978
3,5,10,9,3.706263010811
3,5,10,10,3.785575309658
3,5,11,1,3.345523621072
3,5,11,2,3.512890827744
3,5,11,3,3.545672790565
3,5,11,4,3.562883775127
3,5,11,5,3.571663510646
3,5,11,6,3.578743776522
3,5,11,7,3.589252598800
3,5,11,8,3.611948163566
3,5,11,9,3.646685102563
3,5,11,10,3.716706445620
3,5,11,11,3.795221764267
3,5,12,1,3.341419194482
3,5,12,2,3.505923758526
3,5,12,3,3.541409548288
3,5,12,4,3.558330371934
3,5,12,5,3.565516481277
3,5,12,6,3.574645019522
3,5,12,7,3.586215100484
3,5,12,8,3.601859383485
3,5,12,9,3.625941833691
3,5,12,10,3.665215369085
3,5,12,11,3.759166452633
3,5,12,12,3.843215757576
3,5,13,1,3.338850450956
3,5,13,2,3.511013215781
3,5,13,3,3.542575718532
3,5,13,4,3.557134413792
3,5,13,5,3.566602676426
3,5,13,6,3.572884679814
3,5,13,7,3.580302204402
3,5,13,8,3.598208976215
3,5,13,9,3.622213140402
3,5,13,10,3.677670490981
3,5,13,11,3.752031460614
3,5,13,12,3.833221139742
3,5,13,13,3.837785678830
3,6,2,1,0.337976091929
3,6,2,2,2.576869029611
3,6,3,1,0.289761758835
3,6,3,2,0.487117645545
3,6,3,3,0.558715271502
3,6,4,1,0.259943831700
3,6,4,2,0.440459905123
3,6,4,3,0.492889932301
3,6,4,4,0.558132788060
3,6,5,1,0.239476121627
3,6,5,2,0.411606095340
3,6,5,3,0.448241342849
3,6,5,4,0.494292142003
3,6,5,5,0.558222798337
3,6,6,1,0.224351992809
3,6,6,2,0.390072293987
3,6,6,3,0.421841928424
3,6,6,4,0.448665301558
3,6,6,5,0.493851418778
3,6,6,6,0.558797110778
3,6,7,1,0.212532699831
3,6,7,2,0.373542585629
3,6,7,3,0.402832733634
3,6,7,4,0.423091248794
3,6,7,5,0.446266673699
3,6,7,6,0.493839306349
3,6,7,7,0.559768931097
3,6,8,1,0.203042870076
3,6,8,2,0.360186565008
3,6,8,3,0.388372277909
3,6,8,4,0.405240718292
3,6,8,5,0.420621584411
3,6,8,6,0.443946110579
3,6,8,7,0.494698749574
3,6,8,8,0.561116608037
3,6,9,1,0.195214233854
3,6,9,2,0.349091057128
3,6,9,3,0.376801237316
3,6,9,4,0.391977433490
3,6,9,5,0.402931398040
3,6,9,6,0.417770788746
3,6,9,7,0.442494129491
3,6,9,8,0.496363316611
3,6,9,9,0.562856752519
3,6,10,1,0.188590996834
3,6,10,2,0.339575132187
3,6,10,3,0.367113529820
