# MaxCut k=2 D=4 sweep — 2026-04-15T19:28:04.033
k,D,p,ctilde,wall_seconds,gamma,beta
2,4,1,0.662379763210,7.3,3.6651914291883965,1.963495408493637
2,4,2,0.716091635509,0.2,3.5494279660788712;3.8813335496995363,2.104910506445899;1.853757809097346
2,4,3,0.748564460967,0.1,3.4960958292784805;3.7929626963488476;3.895850512344274,2.158736759824531;1.9939713858987658;1.7938109399961142
2,4,4,0.769023593448,0.5,3.4565946846693523;3.7291415521047933;3.8148138674546894;3.912793342613281,2.175785299548821;2.0485984683648306;1.9320682406984206;1.7583224432163573
2,4,5,0.784121368669,3.8,3.432502009739032;3.688366711153398;3.744929777004348;3.828802370202882;3.9260594331121332,2.1933365522973802;2.0758654869632274;1.9875179222385153;1.8961349974786081;1.7335949013673624
2,4,6,0.794929186550,23.9,3.410320084747443;3.6543738216924972;3.7051856218914483;3.7556998474262206;3.83724950739563;3.9282613061457776,2.2001310890119616;2.093967142315678;2.023617844143581;1.9591433164703052;1.8689456402820768;1.7167506915452346
2,4,7,0.803359620475,181.6,3.3953670593251153;3.6306212591312255;3.6733171130024798;3.7173147808530955;3.763087741349364;3.8393702584644465;3.930261154075118,2.2085556926047674;2.103436806758014;2.0426458558401266;2.003267772609083;1.933981252032148;1.8485448411994794;1.7046029578402746
2,4,8,0.809880038887,1340.3,3.3814434074748467;3.609364185076991;3.6515410847068583;3.687865353177399;3.7244766881015843;3.764258485601085;3.842828006337981;3.9312529698320904,2.2115300463312275;2.10958142387445;2.05310906183866;2.024219416758339;1.9817986067055609;1.9149060387790484;1.831810594954775;1.694209822772485
2,4,9,0.815227729215,8570.2,3.371325767472912;3.5934880068287973;3.6329739378922925;3.668345069391892;3.6957726654035774;3.7250122345410963;3.768008559495618;3.8457536081092143;3.9336090938240513,2.2159085298427255;2.1135285584739383;2.0599701313075833;2.0373736995692058;2.0037578995739316;1.966321294243629;1.898976893042093;1.8179236279437807;1.6860848334996432
2,4,10,0.819603613054,37347.8,3.3618386430169;3.5787350008425873;3.618426560824613;3.6517312763219456;3.6765604171304163;3.696576682082793;3.727894986793098;3.770009891260965;3.848891124936456;3.935714038408498,2.2175838566266775;2.1160137771139844;2.064357430726346;2.0452422969659647;2.0174961169618038;1.9888841846339556;1.9517321259327824;1.8849425617046034;1.8056166451225681;1.6788254637659983
2,4,11,0.823308652112,58180.3,3.354346203192871;3.566965198690236;3.6057871770707037;3.638933128619131;3.6606445991578647;3.677703374198545;3.699595200338122;3.7288891097628385;3.7729276260846794;3.8519679911352247;3.9383725747677105,2.220170157856824;2.118029720294113;2.067673327258194;2.0514204517470547;2.026588989451891;2.0045299186861;1.9750972926015984;1.9394127508380479;1.8731037214166093;1.7952521890162878;1.673116765886924
