timestamp_utc,k,D,p,start_index,evaluations,iterations,elapsed_seconds,value,gradient_norm,plateau_value_range,plateau_gradient_max,reason,gamma,beta
2026-05-29T05:40:50Z,2,8,14,1,1,0,189.658753,0.732310998774,8.066008e-02,Inf,Inf,best_seen,0.13907610310134935;0.26819704828717894;0.2868101010139673;0.3091247733475979;0.3155482408867725;0.324502856802355;0.3332632124415357;0.34700346549889016;0.3622574539486966;0.3836497671874825;0.4270315111593787;0.4840224763364115;0.5259939218230439;0.5259939218230439,2.2043484777791047;2.0905565319247614;2.046630230468519;2.026574592459616;1.9988959975623164;1.9765877386438138;1.9480657947385918;1.9156251914406195;1.8737873735697248;1.8306751799501884;1.7837225302870947;1.7184100493898953;1.6414156150027612;1.6414156150027612
2026-05-29T05:47:03Z,2,8,14,1,3,0,562.591037,0.734334751630,2.588706e-02,Inf,Inf,best_seen,0.13917053510898336;0.26782285674539874;0.2867341529471819;0.3085131780336397;0.3158104784584774;0.32513294286419425;0.3348493753682269;0.3473423312374346;0.3602453860323578;0.38437216437680977;0.42623741169918994;0.4822819408045678;0.5246012972389988;0.5261644023884706,2.2047466914511435;2.091085763582277;2.046717817029315;2.0267158997618155;1.9987741386528048;1.975581929115044;1.947252650549114;1.9163778714769282;1.8757660435900214;1.8304364034303995;1.7844372617584947;1.717144112392383;1.6660244773652917;1.6140482571865478
2026-05-29T05:50:10Z,2,8,14,1,4,0,749.737226,0.734509459072,1.035265e-02,Inf,Inf,best_seen,0.1387531024871324;0.2679833068421866;0.2866852058417118;0.3086744789351493;0.3161107017512185;0.32480554223329305;0.3337926360374607;0.3468237881954988;0.3615079827873177;0.3846922616467633;0.42558853358968834;0.48036943255835557;0.5233624660031416;0.5264435365580189,2.2050333348201034;2.0914440967841172;2.046574351028589;2.0265072654567566;1.9989492701077527;1.9761704309388275;1.9482767046612275;1.9153839445079757;1.8754339882586726;1.8314762112821161;1.7836174174029498;1.7251710836767666;1.6665812068062211;1.6112021923340831
2026-05-29T05:56:24Z,2,8,14,1,6,0,1124.300356,0.734532447155,1.104408e-02,Inf,Inf,best_seen,0.13853754919479208;0.2680661598460213;0.2866599306016316;0.3087577712763748;0.31626573064881797;0.32463647953859487;0.3332469584119744;0.3465560236412725;0.3621599607909127;0.3848575530418193;0.42525346678966097;0.4793818541384633;0.5227227600061379;0.5265876754827249,2.205181351335039;2.0916291323979346;2.046500268249293;2.026399531156665;1.9990397042514452;1.976474320714146;1.9488055043377404;1.9148707018448758;1.8752625219760566;1.832013145853365;1.783194067284167;1.729316040245321;1.6668686900014804;1.6097325452172802
2026-05-29T05:59:27Z,2,8,14,1,7,0,1306.676353,0.734612235000,6.060776e-03,Inf,Inf,best_seen,0.13854342220352922;0.2678228586707404;0.28690787787277233;0.3082769674907101;0.31592980985400104;0.3244060837665851;0.3341568215577508;0.34646942475090214;0.36156292379762395;0.3859737133177727;0.4231232876227521;0.4767914010105887;0.5212320944736638;0.5269279567112236,2.205612021503861;2.0921467001247835;2.046363684293836;2.026768876411466;1.9994859248589627;1.9762289877318606;1.9482531296912105;1.9153087085522642;1.8759088028268378;1.832109755843966;1.7867305566038527;1.7332783355857402;1.6683262567519528;1.610272797619845
2026-05-29T06:05:36Z,2,8,14,1,9,0,1676.404862,0.734648972974,9.020215e-03,Inf,Inf,best_seen,0.13855067722644218;0.26752230478423894;0.2872141711568174;0.30768302277893744;0.3155148414498315;0.3241214721339815;0.33528079025347063;0.3463624477375873;0.36082539431996746;0.3873525242031254;0.42049184276096774;0.4735913722623354;0.5193906511730235;0.5273483116298165,2.2061440353459245;2.0927860599291597;2.046194959919205;2.02722513459297;2.000037148410068;1.9759259239212248;1.9475707723346223;1.915849785339367;1.8767071640400526;1.8322290997317074;1.7910992391980711;1.7381730232610255;1.670126812590551;1.6109401801719232
2026-05-29T06:08:39Z,2,8,14,1,10,0,1858.496019,0.734764919564,7.552445e-03,Inf,Inf,best_seen,0.13790503140319738;0.2680576132211207;0.286686822527773;0.3073596386219412;0.31600759947151336;0.32460366994488865;0.3347899356604974;0.3463297067910698;0.3610811672215136;0.38633107357805424;0.41627998078299466;0.46931387103106065;0.5163983432306208;0.5280263142098104,2.2067296638051066;2.093861017235432;2.0463051393518565;2.0271785174056047;1.9999116130480326;1.9762276614265075;1.947886269823556;1.9152837075081088;1.8789926426070114;1.835374794001376;1.7958540690456462;1.7426790215654788;1.6748138247898592;1.6138220768652298
2026-05-29T06:14:54Z,2,8,14,1,12,0,2233.705373,0.734859039972,1.143641e-02,Inf,Inf,best_seen,0.1366811705710957;0.269072322842722;0.2856872012048836;0.3067466443312311;0.3169416521993844;0.32551770515250233;0.333859490997233;0.3462676443404102;0.3615660002752492;0.3843948519423784;0.4082961408517555;0.46120560791256904;0.5107262419694548;0.5293115092375551,2.207839758082113;2.095898664031808;2.046513991151514;2.027090151698486;1.9996736531525174;1.9767996231754978;1.9484843144564348;1.9142106726325538;1.8833249059006099;1.8413376483524904;1.8048671375179388;1.7512204147500923;1.6836983407950705;1.6192848869046037
2026-05-29T06:18:06Z,2,8,14,1,13,0,2426.103157,0.735050229361,8.224083e-03,Inf,Inf,best_seen,0.13713517332764608;0.26788469705248696;0.28738663549856075;0.3071927115301112;0.31711666091759727;0.32564967920168497;0.33402800787137366;0.34289448026398145;0.35897170643458665;0.37920522737019974;0.40154789423292675;0.4522979197062046;0.5035131126612401;0.5307967546404152,2.209768705542966;2.0979144104217533;2.045171979525654;2.027087331304686;2.0004304670891098;1.9771177744793857;1.9494207710765428;1.91781034662525;1.8898034781598552;1.848879702962598;1.8095061130645458;1.7609679453722298;1.6954210359257489;1.6275007483558162
2026-05-29T06:24:21Z,2,8,14,1,15,0,2801.225603,0.735075682877,8.910418e-03,Inf,Inf,best_seen,0.1373491148082745;0.2673250475430304;0.28818746651505617;0.30740291350710636;0.3171991309549641;0.32571186984497796;0.3341074187318681;0.34130493106741483;0.357749187281457;0.3767597004458401;0.3983678917936296;0.4481003152283685;0.5001140417483472;0.5314966525947774,2.210677690939806;2.0988642984147536;2.0445395781798155;2.0270860022395722;2.0007871034571028;1.9772676981528339;1.949862061163353;1.919506634968582;1.892856400904273;1.8524337746218251;1.8116921555119114;1.7655613120504767;1.7009451670395528;1.6313723406273384
2026-05-29T06:27:29Z,2,8,14,1,16,0,2989.307391,0.735179278991,6.984725e-03,Inf,Inf,best_seen,0.13541766642974135;0.270578611739327;0.28771417426091617;0.30682621360200496;0.31689074884091223;0.3234110397388431;0.33080269146643226;0.3370679312048743;0.3532981387762343;0.37369398015112815;0.39550768372098016;0.44117249837425776;0.494927020177134;0.5321510468886252,2.2113127204817133;2.099036476580326;2.0456355789731986;2.0269406513084918;2.0022889447980186;1.9800476083115055;1.9521504288417553;1.925241977494018;1.8962959594123332;1.8557289012587688;1.8136938785706156;1.7711636189275857;1.7091031034444826;1.6371797570073803
2026-05-29T06:33:38Z,2,8,14,1,18,0,3357.750413,0.735179282434,7.047535e-03,Inf,Inf,best_seen,0.13540763926430868;0.2705955027040583;0.2877117171516385;0.3068232196491674;0.31688914786699623;0.3233990949183845;0.3307855348872719;0.3370459347078247;0.35327503103998475;0.37367806438298906;0.39549283487498715;0.4411365324295007;0.4949000916172121;0.5321544441939405,2.2113160172544055;2.099037370447835;2.045641268890357;2.026939896715282;2.002296741647133;1.9800620402887505;1.95216230896319;1.9252717526767018;1.896313815971462;1.855746007996012;1.8137042705689124;1.7711927034521766;1.7091454555874808;1.6372099063633903
2026-05-29T06:36:41Z,2,8,14,1,19,0,3541.236956,0.735238031204,4.305264e-03,Inf,Inf,best_seen,0.13678502958765182;0.2701562219905674;0.2878901044055224;0.30560426185772;0.3148871406030826;0.32171259280083364;0.32742603035072093;0.3357091535728626;0.351702996640643;0.372376144609322;0.39465542709074236;0.43837694220568224;0.4932236201829916;0.5319120596996979,2.2114832030708245;2.0994555211058383;2.0461340500984893;2.0282410925637566;2.003516019791561;1.9821657505270156;1.95392080572332;1.9272200961556316;1.8967473148683256;1.8569740393958702;1.8145034732001546;1.7718382841932563;1.7110294223954756;1.6385838548205203
2026-05-29T06:42:58Z,2,8,14,1,21,0,3917.757934,0.735251009599,6.012202e-03,Inf,Inf,best_seen,0.13773251423265168;0.26985404785457734;0.288012814127708;0.3047657604026668;0.3135099920130356;0.3205524751253582;0.32511508122523;0.3347896033352597;0.3506216194670523;0.37148057494133035;0.394079387747552;0.43647866448494615;0.49207040245321293;0.5317453273054094,2.2115982075043785;2.0997431602165832;2.0464730263640667;2.029136164255254;2.0043547416122762;1.9836128589569972;1.9551304473552291;1.928560330291291;1.8970455117856713;1.85781878244018;1.8150532318332104;1.7722823687994238;1.7123253728548427;1.6395289718611226
2026-05-29T06:46:07Z,2,8,14,1,22,0,4106.881189,0.735286520135,2.739796e-03,Inf,Inf,best_seen,0.13849276200551197;0.2698170927698078;0.2859883180173667;0.3035053738929695;0.31121666014223964;0.3189945362653934;0.32419036668338463;0.3339421215347214;0.34916846454704487;0.3692898816473592;0.39213869153909714;0.4334186363349059;0.49011345916741184;0.5311313818802282,2.2117479727460267;2.1007898322854066;2.0479837742425335;2.0301247278487504;2.0060624690031417;1.9841381094355546;1.956129678454864;1.9301269657865816;1.8984503969103856;1.8602520224400005;1.8166783375772075;1.7733417001644722;1.7131135227533933;1.6400585440767375
2026-05-29T06:52:15Z,2,8,14,1,24,0,4474.901061,0.735290704301,3.640399e-03,Inf,Inf,best_seen,0.13884768837592235;0.2697998400601338;0.28504316949868047;0.3029169546628571;0.3101460039876208;0.31826720288195154;0.32375865798561615;0.33354646941946137;0.348490050193443;0.3682671429465456;0.3912326655224149;0.4319900432848254;0.48919984810227823;0.5308447576648494,2.2118178915745057;2.101278477608233;2.0486890762246652;2.0305862448708125;2.006859732087793;1.9843833258670467;1.9565961756680823;1.9308583592479627;1.899106276211791;1.8613879955691615;1.8174370282354912;1.7738362555579645;1.7134814754035925;1.6403057781378796
2026-05-29T06:55:26Z,2,8,14,1,25,0,4665.941220,0.735310194009,2.926285e-03,Inf,Inf,best_seen,0.13841054418550816;0.26883381073924806;0.28454627770079277;0.30175931003972184;0.3103762415667652;0.3178304838537522;0.3231515984266028;0.3327109328027742;0.3471418024395621;0.36670455659226503;0.38965943205930903;0.4301065394701135;0.4877247624073576;0.5298958204033557,2.2126532873076448;2.1014803008938783;2.0495898593245157;2.0309075612398186;2.0067592392898175;1.9847472547685419;1.9578517451072268;1.9321331013413412;1.9005811700029416;1.8629191817368347;1.818789998145515;1.774446166994515;1.7131842872856355;1.6396619179091423
2026-05-29T07:01:45Z,2,8,14,1,27,0,5045.254069,0.735313848249,4.620480e-03,Inf,Inf,best_seen,0.13812967454339264;0.2682131269566883;0.28422701960585933;0.30101551145306127;0.3105241715813321;0.31754988738273615;0.3227615564111265;0.3321740919258979;0.3462755393794108;0.36570057877504747;0.3886486133650744;0.4288963688811824;0.486777004664473;0.5292861184448936,2.2131900376653912;2.101609974432387;2.050168621738444;2.031114010314398;2.006694671632688;1.9849810828338803;1.9586584613961693;1.932952136257984;1.9015288044456786;1.8639029846109372;1.819659295239596;1.7748380413706653;1.7129933408607216;1.6392482310845582
2026-05-29T07:04:54Z,2,8,14,1,28,0,5233.889300,0.735326238496,1.455420e-03,Inf,Inf,best_seen,0.13659523857380118;0.2671772229031615;0.28399952901988434;0.3018976588576275;0.30993109804382757;0.31681581408362036;0.3223057710460332;0.33174507959111077;0.34546333470989204;0.36474378515584055;0.38788359268526;0.42840927903922077;0.48586820643825784;0.5278629050397377,2.2138634924611025;2.1017150566760057;2.0499446499090928;2.0311974570443705;2.0070943957978558;1.9853829293133727;1.9599158499118339;1.9337029238393708;1.9023737401945342;1.8645767750427713;1.8201516223450303;1.7743741804219153;1.7117556891993713;1.6379300982926572
2026-05-29T07:11:06Z,2,8,14,1,30,0,5605.655384,0.735326665190,1.410890e-03,Inf,Inf,best_seen,0.13625573294645696;0.26694802125347994;0.2839491949977179;0.30209284067943853;0.3097998760134516;0.3166533947837135;0.3222049250678517;0.33165015734948794;0.34528362825011044;0.36453208729137104;0.38771432604202505;0.428301506707468;0.4856671279194829;0.5275480082505997,2.21401249945614;2.101738306921535;2.0498950944385887;2.031215920267972;2.0071828378092196;1.9854718409029208;1.9601940566831075;1.9338690413013389;1.9025606886545323;1.864725856299853;1.8202605534611547;1.7742715476594364;1.7114818493572095;1.6376384513883187
2026-05-29T07:17:14Z,2,8,14,1,32,0,5973.970097,0.735329576481,1.307606e-03,Inf,Inf,best_seen,0.13566803218038606;0.2665624857254435;0.28388873390127645;0.3018634383207514;0.30967083087912106;0.31642408470839944;0.3223864510751426;0.3318906987345426;0.34540534797078853;0.3646584571458832;0.38774664510380485;0.42858372943476597;0.4852870302361523;0.526741761257895,2.213999647831437;2.1017861337140746;2.0498842617136512;2.0316078851764594;2.007071714983949;1.9857384872281627;1.96030923037913;1.9339295015018583;1.902531230900902;1.8646358075475489;1.8201312042850715;1.7742026222946419;1.7112265170745147;1.6376577169979103
2026-05-29T07:23:23Z,2,8,14,1,34,0,6343.172832,0.735331232210,1.636827e-03,Inf,Inf,best_seen,0.13477161861955847;0.26597443259455644;0.2837965132511062;0.30151353340810727;0.3094739997448926;0.31607432055457635;0.32266333071180925;0.33225759388246767;0.3455910057315661;0.3648512077050186;0.3877959410158152;0.42901420067885676;0.48470727139041414;0.5255120015240957,2.2139800453886167;2.1018590833984696;2.049867738676597;2.0322057449711397;2.00690222055202;1.986145199956291;1.9604849035599825;1.9340217207854884;1.9024862993109664;1.8644984571689867;1.8199339093992777;1.774097491188382;1.710837061531935;1.637687102621841
