# MaxCut k=2 D=8 p=14 optimization progress -- 2026-05-29T15:37:39.952
wall_seconds,evaluations,ctilde,grad_norm,rss_gb
189.9,1,0.732310998774,8.066e-02,56.45
375.5,2,0.726534959315,1.490e-01,56.45
562.6,3,0.734334751630,2.589e-02,56.45
749.7,4,0.734509459072,1.035e-02,56.45
933.9,5,0.733487778677,5.201e-02,56.45
1124.3,6,0.734532447155,1.104e-02,56.45
1306.7,7,0.734612235000,6.061e-03,56.45
1493.9,8,0.734474763419,2.135e-02,56.45
1676.4,9,0.734648972974,9.020e-03,56.45
1858.5,10,0.734764919564,7.552e-03,56.45
2045.4,11,0.734755860378,2.046e-02,56.45
2233.7,12,0.734859039972,1.144e-02,56.45
2426.1,13,0.735050229361,8.224e-03,56.45
2612.5,14,0.733825263672,4.212e-02,56.45
2801.2,15,0.735075682877,8.910e-03,56.45
2989.3,16,0.735179278991,6.985e-03,56.45
3171.6,17,0.733387039031,6.577e-02,56.45
3357.8,18,0.735179282434,7.048e-03,56.45
3541.2,19,0.735238031204,4.305e-03,56.45
3729.1,20,0.734978962023,2.579e-02,56.45
3917.8,21,0.735251009599,6.012e-03,56.45
4106.9,22,0.735286520135,2.740e-03,56.45
4288.5,23,0.735060083045,1.978e-02,56.45
4474.9,24,0.735290704301,3.640e-03,56.45
4665.9,25,0.735310194009,2.926e-03,56.45
4856.5,26,0.735217575827,1.686e-02,56.45
5045.3,27,0.735313848249,4.620e-03,56.45
5233.9,28,0.735326238496,1.455e-03,56.45
5420.0,29,0.735203578752,1.868e-02,56.45
5605.7,30,0.735326665190,1.411e-03,56.45
5787.0,31,0.735326665190,1.411e-03,56.45
5974.0,32,0.735329576481,1.308e-03,56.45
6156.7,33,0.735326818507,3.252e-03,56.45
6343.2,34,0.735331232210,1.637e-03,56.45
6528.4,35,0.735334818998,9.516e-04,56.45
6706.2,36,0.735309938812,5.551e-03,56.45
6892.6,37,0.735335151900,1.022e-03,56.45
7078.7,38,0.735336882665,7.254e-04,56.45
7264.9,39,0.735329606916,3.984e-03,56.45
7450.8,40,0.735337253636,8.706e-04,56.45
7637.5,41,0.735338674518,5.726e-04,56.45
7821.3,42,0.735334520561,2.410e-03,56.45
8008.3,43,0.735339117110,8.292e-04,56.45
8194.1,44,0.735340280901,4.107e-04,56.45
8375.7,45,0.735330532532,3.076e-03,56.45
8557.7,46,0.735340348770,5.250e-04,56.45
8745.1,47,0.735340790117,2.836e-04,56.45
8926.8,48,0.735335787106,3.189e-03,56.45
9110.6,49,0.735340798003,3.307e-04,56.45
9294.7,50,0.735340995325,2.346e-04,56.45
9480.7,51,0.735340679778,9.593e-04,56.45
9664.9,52,0.735341086866,2.583e-04,56.45
9849.7,53,0.735341159979,1.820e-04,56.45
10035.0,54,0.735341164777,1.547e-04,56.45
10221.9,55,0.735341198427,1.106e-04,56.45
10406.7,56,0.735341228189,3.857e-04,56.45
10593.2,57,0.735341236917,2.838e-04,56.45
10779.3,58,0.735341284799,1.586e-04,56.45
10962.7,59,0.735341284811,1.554e-04,56.50
11144.8,60,0.735341304265,7.731e-05,56.50
11323.6,61,0.735341236865,3.662e-04,56.50
11506.8,62,0.735341309382,7.577e-05,56.50
11696.2,63,0.735341322653,6.176e-05,56.50
11882.8,64,0.735341292893,2.176e-04,56.50
12068.6,65,0.735341327680,7.646e-05,56.50
12255.7,66,0.735341332064,6.724e-05,56.50
12443.1,67,0.735341332339,4.772e-05,56.50
12629.4,68,0.735341334316,3.820e-05,56.50
12817.0,69,0.735341330926,1.540e-04,56.50
13002.9,70,0.735341335199,4.308e-05,56.50
13187.0,71,0.735341337211,2.333e-05,56.50
13374.5,72,0.735341328864,9.127e-05,56.50
13560.4,73,0.735341337645,2.843e-05,56.50
13747.6,74,0.735341338813,2.018e-05,56.50
13933.5,75,0.735341337775,7.502e-05,56.50
14118.7,76,0.735341339495,4.138e-05,56.50
14304.8,77,0.735341340823,2.135e-05,56.50
