# MaxCut k=2 D=9 TIMED sweep — 2026-04-29T20:25:56.435
k,D,p,ctilde,wall_seconds,gamma,beta
2,9,1,0.604049179495,1.8,3.4814295665773685,1.1780972461595307
2,9,2,0.639127540895,0.1,6.022350427399955;2.6793198816865966,2.631919884488268;0.27344391310113103
2,9,3,0.660899758035,0.0,6.057156678069665;2.7424563303895515;2.6877203928456965,2.577412310000851;0.3865440917953477;2.927247318948657
2,9,4,0.675074718101,0.0,6.08137391679789;2.780268265744956;2.7411348134509894;2.681829781491834,2.5572941664052617;0.4400393779682626;2.8192054486533067;0.17698867073349467
2,9,5,0.685547154805,0.2,6.0977729884258975;2.8048178945532785;2.779001629613613;2.7337850979647165;2.6794329755116504,2.5393632319359885;0.4702544199681076;2.7623693553364546;0.2853337690517366;2.9893624666176972
2,9,6,0.693442369430,0.4,6.11014037290615;2.8239685937565997;2.8024996166193277;2.7715850678769436;2.7286647980150898;2.6761810286646055,2.530146733448103;0.4874191451138807;2.730850488525472;0.34384690193924;2.888418005405444;0.13235933333443706
2,9,7,0.699645853664,5.1,6.12007334999215;2.838338009239569;2.819612115246894;2.795044159381825;2.76824480456959;2.7235717904616736;2.6733355460574098,2.5225252233497053;0.5000758225304966;2.7104671048077416;0.380162039068424;2.828435247879205;0.2289022914673583;3.0236974203689218
2,9,8,0.704664206358,51.8,6.12791469953489;2.850122305994581;2.83289168057867;2.8113342194574407;2.792889861873753;2.7647168264338715;2.7183897028116317;2.670537791749848,2.5168681760145617;0.5081790282138109;2.696451486310751;0.4042007601136453;2.791396873727463;0.28862816804714847;2.933146400076095;0.10593575534611333
2,9,9,0.708790775946,170.7,6.134585739551421;2.8601226465553533;2.843409144557106;2.8238021065841177;2.809403764661735;2.790750093558293;2.7607172046737256;2.7132022541266;2.6678803267519298,2.5129260588496787;0.5140262909580995;2.686776816986781;0.4210721140016089;2.765260930279779;0.32651684258733066;2.8743975184000856;0.19112740072618234;3.0453801042094915
2,9,10,0.712253815894,539.0,6.1402104681166;2.868462117636302;2.8521843996582428;2.833472401629766;2.8218611613733886;2.8077453238839896;2.7882781690285663;2.756282334428649;2.708258831689032;2.6654856016748365,2.5093885487173506;0.5185722162696865;2.6795966772239783;0.4334500756742228;2.746428267990436;0.3549618500244981;2.836393681052991;0.2489668767097211;2.964999602010791;0.0881877235541868
2,9,11,0.715201598948,3036.3,6.145006563270239;2.8758712667198174;2.8597542198038446;2.8416419434433777;2.831749151739642;2.820583255299906;2.805994791705403;2.785306799704572;2.7517533773177125;2.7035789508624144;2.663413568201723,2.5069681612679013;0.521400728047171;2.6745933895605036;0.4419390175390194;2.7329797566249634;0.37548056111136263;2.807226248914385;0.28638416821018925;2.908899642691808;0.16373489322969667;3.0603709424598926
2,9,12,0.717763513540,9711.1,6.149614382829393;2.8815013180474867;2.8646630344634985;2.848037160697113;2.840500898086307;2.8329428252896047;2.821539100682347;2.8056552926441416;2.784494057727424;2.746512411567876;2.697972421238249;2.65830788874008,2.503433563286658;0.5278216780605962;2.6685070004615037;0.44915713868886714;2.724393916329639;0.38828455433860676;2.7863608344645487;0.314174551876615;2.8715039090646446;0.2200711918554213;2.9881049939755657;0.07566313164568417
