# Q1 Exp 3: Adiabatic-init vs warm-start optimization — 2026-04-29T07:45:47.216
k,D,p,gamma_max,beta_max,ctilde_seed,ctilde_adi_opt,ctilde_warm,delta_warm_minus_adi,iterations,wall_seconds,converged
2,3,8,4.7123889804,1.5707963268,0.382527514295,0.845747392059,0.867392581017,+0.021645188958,119,16.18,true
2,3,8,1.5707963268,0.7853981634,0.824130795798,0.850915551760,0.867392581017,+0.016477029257,183,26.53,true
2,3,8,1.5707963268,1.5707963268,0.564449339386,0.850094279632,0.867392581017,+0.017298301385,151,21.79,true
2,3,8,4.7123889804,2.3561944902,0.566555084225,0.849423625642,0.867392581017,+0.017968955375,235,33.45,true
2,3,8,1.5707963268,2.3561944902,0.490969762591,0.861270078357,0.867392581017,+0.006122502660,191,25.93,true
2,3,8,6.2831853072,0.7853981634,0.582273442535,0.849991579225,0.867392581017,+0.017401001792,244,34.59,true
2,3,8,3.1415926536,0.7853981634,0.486083974307,0.854052360732,0.867392581017,+0.013340220285,134,19.33,true
2,3,8,6.2831853072,1.5707963268,0.495825813647,0.844270747206,0.867392581017,+0.023121833811,122,17.22,true
2,3,8,3.1415926536,1.5707963268,0.506952376516,0.849893744059,0.867392581017,+0.017498836958,141,21.90,true
2,3,8,6.2831853072,2.3561944902,0.526314455288,0.829084881308,0.867392581017,+0.038307699709,107,15.89,true
2,4,8,1.5707963268,0.7853981634,0.714057966228,0.778115008490,0.809880038887,+0.031765030397,104,15.74,true
2,3,8,3.1415926536,2.3561944902,0.473088746330,0.853301531704,0.867392581017,+0.014091049313,137,18.95,true
2,4,8,1.5707963268,1.5707963268,0.520391753423,0.780104671401,0.809880038887,+0.029775367486,137,19.68,true
2,3,8,4.7123889804,0.7853981634,0.478358518541,0.841416974373,0.867392581017,+0.025975606644,170,23.65,true
2,4,8,1.5707963268,2.3561944902,0.492687457881,0.775690613074,0.809880038887,+0.034189425813,122,17.04,true
2,4,8,3.1415926536,0.7853981634,0.516512832647,0.793301789115,0.809880038887,+0.016578249772,176,26.19,true
2,4,8,3.1415926536,1.5707963268,0.497451925703,0.789744985790,0.809880038887,+0.020135053097,91,13.75,true
2,4,8,3.1415926536,2.3561944902,0.505412323237,0.791191969678,0.809880038887,+0.018688069209,146,21.07,true
2,4,8,4.7123889804,0.7853981634,0.498658331208,0.797503311866,0.809880038887,+0.012376727021,100,14.92,true
2,4,8,4.7123889804,1.5707963268,0.478448586440,0.776775533864,0.809880038887,+0.033104505023,160,23.26,true
2,4,8,4.7123889804,2.3561944902,0.516486246867,0.788357094216,0.809880038887,+0.021522944671,135,19.29,true
2,4,8,6.2831853072,0.7853981634,0.501816083375,0.784818888323,0.809880038887,+0.025061150564,90,12.83,true
2,4,8,6.2831853072,1.5707963268,0.515555861726,0.776852280120,0.809880038887,+0.033027758767,153,22.86,true
2,4,8,6.2831853072,2.3561944902,0.454118153229,0.781464624099,0.809880038887,+0.028415414788,233,35.11,true
2,5,8,1.5707963268,0.7853981634,0.624627749098,0.773018284065,0.777099570297,+0.004081286232,182,26.58,true
2,5,8,1.5707963268,1.5707963268,0.507040217515,0.744965615006,0.777099570297,+0.032133955291,130,43.12,true
2,5,8,1.5707963268,2.3561944902,0.495951996931,0.773018284041,0.777099570297,+0.004081286256,209,31.21,true
2,5,8,3.1415926536,0.7853981634,0.502120342907,0.743504792677,0.777099570297,+0.033594777620,184,29.43,true
2,5,8,3.1415926536,1.5707963268,0.500032703878,0.765534223959,0.777099570297,+0.011565346338,125,19.70,true
2,5,8,3.1415926536,2.3561944902,0.506668598822,0.758795085311,0.777099570297,+0.018304484986,149,25.33,true
2,5,8,4.7123889804,0.7853981634,0.501561390660,0.750517761424,0.777099570297,+0.026581808873,121,21.02,true
2,5,8,4.7123889804,1.5707963268,0.471875271164,0.770763677638,0.777099570297,+0.006335892659,202,30.71,true
2,5,8,4.7123889804,2.3561944902,0.507611775158,0.758826125654,0.777099570297,+0.018273444643,129,21.28,true
2,5,8,6.2831853072,0.7853981634,0.517014387451,0.745065036278,0.777099570297,+0.032034534019,131,21.12,true
2,5,8,6.2831853072,1.5707963268,0.506178875331,0.754836141215,0.777099570297,+0.022263429082,154,23.53,true
2,5,8,6.2831853072,2.3561944902,0.501996697717,0.750894662015,0.777099570297,+0.026204908282,83,13.57,true
2,6,8,1.5707963268,0.7853981634,0.593134188745,0.738034207218,0.751927747697,+0.013893540479,111,17.38,true
2,6,8,1.5707963268,1.5707963268,0.502690682503,0.735117897081,0.751927747697,+0.016809850616,137,20.04,true
2,6,8,1.5707963268,2.3561944902,0.500707347034,0.728952098909,0.751927747697,+0.022975648788,139,22.56,true
2,6,8,3.1415926536,0.7853981634,0.504122148476,0.731679619428,0.751927747697,+0.020248128269,142,23.63,true
2,6,8,3.1415926536,1.5707963268,0.499636082871,0.737000590669,0.751927747697,+0.014927157028,154,26.79,true
2,6,8,3.1415926536,2.3561944902,0.497114059491,0.733902062479,0.751927747697,+0.018025685218,132,20.14,true
2,6,8,4.7123889804,0.7853981634,0.499998458205,0.738631960011,0.751927747697,+0.013295787686,111,18.58,true
2,6,8,4.7123889804,1.5707963268,0.485160541554,0.733907239327,0.751927747697,+0.018020508370,223,34.65,true
2,6,8,4.7123889804,2.3561944902,0.501233940592,0.730020431391,0.751927747697,+0.021907316306,192,30.14,true
2,6,8,6.2831853072,0.7853981634,0.500003766778,0.734152405842,0.751927747697,+0.017775341855,226,35.81,true
2,6,8,6.2831853072,1.5707963268,0.504180380685,0.727673684909,0.751927747697,+0.024254062788,216,34.83,true
2,6,8,6.2831853072,2.3561944902,0.467732841925,0.717984028693,0.751927747697,+0.033943719004,121,19.75,true
2,7,8,1.5707963268,0.7853981634,0.559454856781,0.723054742393,0.732757551195,+0.009702808802,111,16.86,true
2,7,8,1.5707963268,1.5707963268,0.500974627768,0.718160045835,0.732757551195,+0.014597505360,82,14.07,true
2,7,8,1.5707963268,2.3561944902,0.499598612761,0.500000000731,0.732757551195,+0.232757550464,2,0.58,true
2,7,8,3.1415926536,0.7853981634,0.500731294202,0.719180727333,0.732757551195,+0.013576823862,97,17.00,true
2,7,8,3.1415926536,1.5707963268,0.500013092932,0.720478260394,0.732757551195,+0.012279290801,230,36.14,true
2,7,8,3.1415926536,2.3561944902,0.502435054450,0.716665014003,0.732757551195,+0.016092537192,165,25.11,true
2,7,8,4.7123889804,0.7853981634,0.500104529326,0.718055587729,0.732757551195,+0.014701963466,122,18.88,true
2,7,8,4.7123889804,1.5707963268,0.496373784399,0.716043783071,0.732757551195,+0.016713768124,147,22.26,true
2,7,8,4.7123889804,2.3561944902,0.501469130355,0.714012648475,0.732757551195,+0.018744902720,198,28.19,true
2,7,8,6.2831853072,0.7853981634,0.504348392512,0.706511700628,0.732757551195,+0.026245850567,146,22.03,true
2,7,8,6.2831853072,1.5707963268,0.498685623770,0.712887928574,0.732757551195,+0.019869622621,215,30.42,true
2,7,8,6.2831853072,2.3561944902,0.500107249514,0.709166941348,0.732757551195,+0.023590609847,190,28.53,true
2,8,8,1.5707963268,0.7853981634,0.548992277779,0.499999979343,0.717364943442,+0.217364964099,1,0.22,true
