# Q1: Angle profile curvature — 2026-04-29T07:39:50.976
# Fits γ_j and β_j (j=1..p) against x = j/p with polynomials of deg 1,2,3.
k,D,p,profile,deg,r2,rmse,c0,c1,c2,c3
2,3,12,gamma,1,0.4955847599,1.5835921743,-1.3044670481,-5.4564737310,NaN,NaN
2,3,12,gamma,2,0.8571945103,0.8426004728,2.5520358924,-25.2899174248,18.3077941789,NaN
2,3,12,gamma,3,0.8950607132,0.7223011416,4.4583210735,-42.9701887754,57.5228036201,-24.1323135022
2,3,12,beta,1,0.1516844353,0.3583743138,0.0737718715,-0.5267839283,NaN,NaN
2,3,12,beta,2,0.7229706472,0.2047958021,0.9196530886,-4.8770301872,4.0156119314,NaN
2,3,12,beta,3,0.8417497836,0.1547855137,1.5088235765,-10.3414246031,16.1356905409,-7.4585099135
2,4,11,gamma,1,0.8873777143,0.0489589291,3.4207160018,0.4780426938,NaN,NaN
2,4,11,gamma,2,0.8898202810,0.0484251050,3.3994899605,0.5858056727,-0.0987827306,NaN
2,4,11,gamma,3,0.9800456457,0.0206081298,3.1975635371,2.4205254281,-4.1262163401,2.4612094280
2,4,11,beta,1,0.9289572190,0.0388406706,2.2432500987,-0.4885593001,NaN,NaN
2,4,11,beta,2,0.9502805647,0.0324930019,2.1806059570,-0.1705198113,-0.2915361981,NaN
2,4,11,beta,3,0.9977550601,0.0069044502,2.3269132617,-1.4998797724,2.6265710337,-1.7832877528
2,5,12,gamma,1,0.9190701564,0.0442790876,3.3614840430,0.5187074620,NaN,NaN
2,5,12,gamma,2,0.9236521430,0.0430073555,3.3917877370,0.3628598927,0.1438592948,NaN
2,5,12,gamma,3,0.9728795628,0.0256325998,3.2400615317,1.7700787637,-2.9773654997,1.9207537197
2,5,12,beta,1,0.0195382466,0.3889724902,1.4408613517,0.1908755066,NaN,NaN
2,5,12,beta,2,0.0432158556,0.3842470515,1.2670024889,1.0850068014,-0.8253519644,NaN
2,5,12,beta,3,0.0869500143,0.3753624592,0.9060694044,4.4325620023,-8.2502611305,4.5691748714
2,6,12,gamma,1,0.8861653333,0.0373185588,3.3578698711,0.3619502006,NaN,NaN
2,6,12,gamma,2,0.8861674154,0.0373182175,3.3583289266,0.3595893437,0.0021792526,NaN
2,6,12,gamma,3,0.9743647787,0.0177094930,3.2140083882,1.6981226882,-2.9667003932,1.8270028589
2,6,12,beta,1,0.9581767419,0.0307508515,0.6519303789,-0.5116522377,NaN,NaN
2,6,12,beta,2,0.9665949765,0.0274823652,0.6122493358,-0.3075783017,-0.1883759409,NaN
2,6,12,beta,3,0.9952747332,0.0103362114,0.7241283658,-1.3452255689,2.1131355332,-1.4163147533
2,7,10,gamma,1,0.9030457306,0.0325588756,6.0861627377,-0.3459503914,NaN,NaN
2,7,10,gamma,2,0.9044431103,0.0323233922,6.0979972091,-0.4051227487,0.0537930521,NaN
2,7,10,gamma,3,0.9742199480,0.0167891157,6.2328419348,-1.6011231707,2.6469608528,-1.5716168489
2,7,10,beta,1,0.9746146703,0.0246669597,2.4817964665,0.5321250670,NaN,NaN
2,7,10,beta,2,0.9773638046,0.0232930274,2.5063734129,0.4092403354,0.1117133923,NaN
2,7,10,beta,3,0.9969227520,0.0085882657,2.4006699167,1.3467736759,-1.9210461501,1.2319754802
2,8,9,gamma,1,0.9029973807,0.0296659102,0.1836720998,0.3154985241,NaN,NaN
2,8,9,gamma,2,0.9082540181,0.0288509072,0.1620296067,0.4217434903,-0.0956204696,NaN
2,8,9,gamma,3,0.9747322068,0.0151408273,0.0332426491,1.5316529064,-2.4664712793,1.4225104858
2,8,9,beta,1,0.9787171297,0.0226207208,2.2347024949,-0.5346974023,NaN,NaN
2,8,9,beta,2,0.9802224678,0.0218060694,2.2158488333,-0.4421430636,-0.0832989048,NaN
2,8,9,beta,3,0.9978248154,0.0072316832,2.3237293416,-1.3718768988,1.9026831799,-1.1915892508
