# Q1: Optimal vs linear-adiabatic angle schedules — 2026-04-29T07:41:13.360
k,D,p,j,gamma_opt,beta_opt,gamma_adi,beta_adi
2,3,12,1,0.248819070821,0.659584007050,0.471743679093,0.659584007050
2,3,12,2,0.515066656928,0.566157283787,0.943487358186,0.599621824591
2,3,12,3,-2.563634630776,-0.518585445529,1.415231037279,0.539659642132
2,3,12,4,-5.660924149115,-0.505708046566,1.886974716372,0.479697459673
2,3,12,5,-5.628491432811,-0.486049564438,2.358718395465,0.419735277214
2,3,12,6,-5.608632560971,-0.466933430384,2.830462074557,0.359773094755
2,3,12,7,-5.580991432462,-0.443744266085,3.302205753650,0.299810912295
2,3,12,8,-5.546611730897,-0.411005379901,3.773949432743,0.239848729836
2,3,12,9,-5.503757926832,-0.363245008188,4.245693111836,0.179886547377
2,3,12,10,-5.392237609470,-0.269388421162,4.717436790929,0.119924364918
2,3,12,11,-5.229965427283,-0.194934718304,5.189180470022,0.059962182459
2,3,12,12,-5.169322655706,-0.104980085524,5.660924149115,0.000000000000
2,4,11,1,3.354346203193,2.220170157857,0.358033870433,2.220170157857
2,4,11,2,3.566965198690,2.118029720294,0.716067740867,1.998153142071
2,4,11,3,3.605787177071,2.067673327258,1.074101611300,1.776136126285
2,4,11,4,3.638933128619,2.051420451747,1.432135481734,1.554119110500
2,4,11,5,3.660644599158,2.026588989452,1.790169352167,1.332102094714
2,4,11,6,3.677703374199,2.004529918686,2.148203222601,1.110085078928
2,4,11,7,3.699595200338,1.975097292602,2.506237093034,0.888068063143
2,4,11,8,3.728889109763,1.939412750838,2.864270963467,0.666051047357
2,4,11,9,3.772927626085,1.873103721417,3.222304833901,0.444034031571
2,4,11,10,3.851967991135,1.795252189016,3.580338704334,0.222017015786
2,4,11,11,3.938372574768,1.673116765887,3.938372574768,0.000000000000
2,5,12,1,3.329434126999,0.928400445102,0.326762972529,2.106319742877
2,5,12,2,3.512027003362,2.106319742877,0.653525945059,1.914836129888
2,5,12,3,3.541885670462,1.087323674899,0.980288917588,1.723352516899
2,5,12,4,3.569501894897,2.034179808715,1.307051890117,1.531868903910
2,5,12,5,3.587031129650,1.136139339172,1.633814862647,1.340385290922
2,5,12,6,3.602955982956,1.976961938800,1.960577835176,1.148901677933
2,5,12,7,3.625918321429,1.201519195631,2.287340807705,0.957418064944
2,5,12,8,3.658550130116,1.884886576946,2.614103780235,0.765934451955
2,5,12,9,3.711233503869,1.328560243790,2.940866752764,0.574450838966
2,5,12,10,3.769283026663,1.766954131877,3.267629725293,0.382967225978
2,5,12,11,3.880430557723,1.429616632722,3.594392697823,0.191483612989
2,5,12,12,3.921155670352,1.650165283443,3.921155670352,0.000000000000
2,6,12,1,3.306575444931,0.642265139104,0.313063392225,0.642265139104
2,6,12,2,3.466045747396,0.533551865216,0.626126784449,0.583877399186
2,6,12,3,3.489974344553,0.481973832767,0.939190176674,0.525489659267
2,6,12,4,3.513473488425,0.463301312455,1.252253568898,0.467101919348
2,6,12,5,3.526181073338,0.436519151575,1.565316961123,0.408714179430
2,6,12,6,3.537344517256,0.413234858976,1.878380353348,0.350326439511
2,6,12,7,3.550858963092,0.382677636265,2.191443745572,0.291938699593
2,6,12,8,3.569419788882,0.346915368531,2.504507137797,0.233550959674
2,6,12,9,3.596791835973,0.296748394899,2.817570530021,0.175163219756
2,6,12,10,3.632173952604,0.243904445240,3.130633922246,0.116775479837
2,6,12,11,3.701514893542,0.174269554879,3.443697314471,0.058387739919
2,6,12,12,3.756760706695,0.082063442175,3.756760706695,0.000000000000
2,7,10,1,6.119275966614,2.506812093061,0.611927596661,3.052843441216
2,7,10,2,5.967879806602,2.618345795099,1.223855193323,2.713638614414
2,7,10,3,5.947267246245,2.674326015733,1.835782789984,2.374433787612
2,7,10,4,5.924878304661,2.701477294712,2.447710386646,2.035228960811
2,7,10,5,5.910214775895,2.738771822931,3.059637983307,1.696024134009
2,7,10,6,5.893186769471,2.777955199108,3.671565579968,1.356819307207
2,7,10,7,5.870118072185,2.829371023615,4.283493176630,1.017614480405
2,7,10,8,5.833200546963,2.885140692644,4.895420773291,0.678409653604
2,7,10,9,5.771902765744,2.959609155682,5.507348369953,0.339204826802
2,7,10,10,5.720975969738,3.052843441216,6.119275966614,0.000000000000
2,8,9,1,0.158175580350,2.200700284640,0.056667480689,2.200700284640
2,8,9,2,0.300578346559,2.087124171705,0.113334961379,1.925612749060
2,8,9,3,0.319201081502,2.028304682352,0.170002442068,1.650525213480
2,8,9,4,0.340402956121,1.995374704386,0.226669922757,1.375437677900
2,8,9,5,0.356301212404,1.951139404051,0.283337403447,1.100350142320
2,8,9,6,0.376288707999,1.901284394787,0.340004884136,0.825262606740
2,8,9,7,0.408510961756,1.842143630603,0.396672364825,0.550175071160
2,8,9,8,0.461075345922,1.765119962182,0.453339845515,0.275087535580
2,8,9,9,0.510007326204,1.667644207832,0.510007326204,0.000000000000
