# Q1: Intermediate-depth performance — 2026-04-29T07:36:23.175
D,p_max,t,ctilde_truncated,ctilde_optimal_at_t,ctilde_adiabatic_at_t
3,12,1,0.555781931151,0.692450089730,0.492336808770
3,12,2,0.603768255399,0.755906458453,0.486000104205
3,12,3,0.629018029501,0.792398428764,0.432259623289
3,12,4,0.653267962378,0.816876564852,0.500721668106
3,12,5,0.677654439673,0.836380825133,0.416398952944
3,12,6,0.703454867648,0.849897134598,0.500387859751
3,12,7,0.733986134046,0.859784227119,0.436779717535
3,12,8,0.769035617584,0.867392581017,0.496787902088
3,12,9,0.806470434478,0.873474212669,0.442310495400
3,12,10,0.853886284524,0.878413334854,0.515717774642
3,12,11,0.868116276617,0.882510574357,0.484334861864
3,12,12,0.885943703416,0.885943703416,0.523009235726
4,11,1,0.551037137398,0.662379763210,0.504883623806
4,11,2,0.592736945764,0.716091635509,0.525179164253
4,11,3,0.615076395650,0.748564460967,0.553517568504
4,11,4,0.638820549069,0.769023593448,0.439599352902
4,11,5,0.662154614488,0.784121368669,0.641045286531
4,11,6,0.688024489507,0.794929186550,0.555948966901
4,11,7,0.716280034881,0.803359620475,0.556126147428
4,11,8,0.746347014668,0.809880038887,0.670690924186
4,11,9,0.782048892747,0.815227729215,0.585944680819
4,11,10,0.809240046553,0.819603613054,0.625304538326
4,11,11,0.823308652111,0.823308652112,0.644569531874
5,12,1,0.547079402299,0.643108350560,0.496403600414
5,12,2,0.584734889324,0.690708941937,0.491051487482
5,12,3,0.606079841321,0.719900638475,0.516662479381
5,12,4,0.629358506927,0.738553728591,0.485074274495
5,12,5,0.652650985940,0.752270213171,0.470877748833
5,12,6,0.679120384218,0.762412715219,0.513743895824
5,12,7,0.707748139852,0.770473049311,0.503043015220
5,12,8,0.739319944408,0.777099570297,0.486492189136
5,12,9,0.767114847043,0.782928324596,0.512620939630
5,12,10,0.778361804472,0.787924183983,0.527910059192
5,12,11,0.787965067099,0.792130125642,0.500947871137
5,12,12,0.795656769328,0.795656769328,0.486383509796
6,12,1,0.541548679058,0.629402082031,0.504191913404
6,12,2,0.574474436803,0.672644051382,0.497677596567
6,12,3,0.592441110137,0.699318920324,0.506399661523
6,12,4,0.612001228089,0.716499681672,0.500131593445
6,12,5,0.630890150352,0.729153049443,0.530294140624
6,12,6,0.652040557383,0.738582023073,0.516770669716
6,12,7,0.674729004528,0.745985660468,0.518269688169
6,12,8,0.698911177047,0.751927747697,0.515978613911
6,12,9,0.723990309254,0.756767462179,0.510927340671
6,12,10,0.743920889779,0.760777479845,0.511509549913
6,12,11,0.759614106763,0.764144755966,0.507047116651
6,12,12,0.767008516373,0.767008516373,0.506096776247
