# Q1.5 Tier 2 reverse: induced (λ̄, s̄) — 2026-04-29T20:14:30.809
D,p,ctilde_warm,n_lambda_descent,n_s_sign_flip,s_amplitude,s_mean,tau_seq,lambdabar_seq,sbar_seq
3,1,0.692450089730,0,0,4.876287e-01,-4.876287e-01,6.8458028425,0.8279095569,-4.8762874778e-01
3,2,0.755906458453,1,0,5.165812e-01,-4.743593e-01,6.8112419147;6.6637617058,0.8508506743;0.8081540663,-4.3213742283e-01;-5.1658118823e-01
3,3,0.792398428764,2,0,5.341665e-01,-4.697529e-01,6.8231702939;6.5960114421;6.6813308381,0.8590323738;0.8315302182;0.8001706273,-4.1308028408e-01;-4.6201179871e-01;-5.3416647111e-01
3,4,0.816876564852,2,0,8.422302e-01,-3.798628e-01,1.0083119580;1.2149116284;6.9744623619;4.1394644483,0.4053821143;0.6424905527;0.5921070024;0.2794823570,-1.2022036948e-01;-1.3937881887e-01;-8.4223022442e-01;-4.1762166338e-01
3,5,0.836380825133,1,0,8.120356e-01,-3.728208e-01,0.9909023405;1.2286137225;6.7151368429;3.8697973223;4.1462334294,0.3625345218;0.5747016024;0.5902608953;0.2594959911;0.2783095415,-1.1276998792e-01;-1.4996483702e-01;-8.1203561501e-01;-3.7299205127e-01;-4.1634155217e-01
3,6,0.849897134598,1,0,7.916853e-01,-3.586420e-01,0.9672673969;1.1800171569;6.5515029257;3.6185572709;3.8931962257;4.1299710130,0.3425894797;0.5470961695;0.5912001255;0.2312978025;0.2594761507;0.2729372658,-1.0689981776e-01;-1.4597981882e-01;-7.9168532387e-01;-3.2360979468e-01;-3.7393501057e-01;-4.0974210938e-01
3,7,0.859784227119,1,0,7.835173e-01,-3.489394e-01,0.9572684006;1.1698539668;6.4821095309;3.4468512883;3.6582422414;3.9184392209;4.1361455474,0.3234980809;0.5272309638;0.5908261282;0.2175915153;0.2343718314;0.2606113917;0.2721800483,-1.0241051344e-01;-1.4555760970e-01;-7.8351734390e-01;-2.9587129711e-01;-3.2813512183e-01;-3.7743634577e-01;-4.0964763681e-01
3,8,0.867392581017,1,0,7.786682e-01,-3.397988e-01,0.9422463542;1.1417660977;6.4371813735;3.3806625821;3.4858064884;3.6872063400;3.9377717862;4.1352721388,0.3109578807;0.5134154101;0.5898223458;0.2094513365;0.2192887849;0.2346124034;0.2608300958;0.2699979712,-9.8346251259e-02;-1.4235218024e-01;-7.7866819217e-01;-2.8271458095e-01;-2.9832418291e-01;-3.3097757156e-01;-3.7950579613e-01;-4.0750185178e-01
3,9,0.873474212669,1,0,7.752903e-01,-3.328108e-01,0.9338720575;1.1279863138;6.4053953542;3.3341388004;3.4163871010;3.5064381417;3.7113743030;3.9592127319;4.1423818279,0.2991886319;0.5018926646;0.5890035941;0.2037448816;0.2125720616;0.2190394141;0.2356297587;0.2620377809;0.2698868270,-9.5047408440e-02;-1.4070690104e-01;-7.7529032368e-01;-2.7356458538e-01;-2.8586376963e-01;-2.9986639236e-01;-3.3414277238e-01;-3.8271446978e-01;-4.0810052562e-01
3,10,0.878413334854,1,0,7.727371e-01,-3.262587e-01,0.9234648207;1.1087581440;6.3798278763;3.3025326979;3.3687978758;3.4350795847;3.5274365347;3.7323218192;3.9748153634;4.1453049313,0.2898257131;0.4922121071;0.5880422557;0.1986429980;0.2064515083;0.2120553775;0.2192185307;0.2360837465;0.2624506087;0.2691316693,-9.1939048281e-02;-1.3824844848e-01;-7.7273710466e-01;-2.6623227114e-01;-2.7589347654e-01;-2.8694038846e-01;-3.0183578686e-01;-3.3647631050e-01;-3.8461409288e-01;-4.0767032064e-01
3,11,0.882510574357,1,0,7.707312e-01,-3.206968e-01,0.9164042587;1.0960066938;6.3596478844;3.2772807989;3.3356622384;3.3840718172;3.4529491414;3.5435156503;3.7485445023;3.9890083117;4.1492053178,0.2812258620;0.4838434004;0.5872534205;0.1946361679;0.2018951754;0.2061371349;0.2127383301;0.2192061802;0.2364793915;0.2630825873;0.2689567541,-8.9289818195e-02;-1.3652320806e-01;-7.7073122457e-01;-2.6046378830e-01;-2.6868356788e-01;-2.7685978205e-01;-2.8910506363e-01;-3.0320414471e-01;-3.3832905975e-01;-3.8658598467e-01;-4.0788870617e-01
3,12,0.885943703416,1,0,7.691051e-01,-3.154872e-01,0.9084030779;1.0812239407;6.3425578845;3.2581457651;3.3102369635;3.3492119694;3.4000422622;3.4671608500;3.5577750257;3.7631519301;3.9998778152;4.1504752195,0.2739082208;0.4763737072;0.5864433158;0.1909862857;0.1977785523;0.2014064062;0.2065250431;0.2124428627;0.2190771970;0.2367557075;0.2633130132;0.2683699077,-8.6781674709e-02;-1.3449488454e-01;-7.6910510486e-01;-2.5552339021e-01;-2.6254534415e-01;-2.6931674827e-01;-2.7854743662e-01;-2.9000552672e-01;-3.0429459484e-01;-3.3992031343e-01;-3.8785850262e-01;-4.0745244125e-01
4,1,0.662379763210,0,0,6.392191e-01,-6.392191e-01,5.6286868377,0.6511627907,-6.3921912446e-01
4,2,0.716091635509,0,0,6.606018e-01,-6.439405e-01,5.6543384725;5.7350913588,0.6277353192;0.6767692626,-6.6060178141e-01;-6.2727922627e-01
4,3,0.748564460967,0,0,6.672556e-01,-6.449477e-01,5.6548325891;5.7869340822;5.6896614523,0.6182492186;0.6554356145;0.6847244858,-6.6725561283e-01;-6.5345673630e-01;-6.1413083903e-01
4,4,0.769023593448,0,0,6.675763e-01,-6.441309e-01,5.6323799842;5.7777400205;5.7468821082;5.6711157858,0.6137005483;0.6454325634;0.6638058334;0.6899512354,-6.6757626890e-01;-6.6111324321e-01;-6.4125754460e-01;-6.0657635068e-01
4,5,0.784121368669,0,0,6.690473e-01,-6.435490e-01,5.6258385620;5.7642321981;5.7324476992;5.7249373677;5.6596543345,0.6101316225;0.6398712932;0.6532863401;0.6687937569;0.6936924415,-6.6904726920e-01;-6.6414064264e-01;-6.4920798183e-01;-6.3406034359e-01;-6.0128893693e-01
4,6,0.794929186550,0,0,6.686110e-01,-6.430154e-01,5.6104511738;5.7483409640;5.7288034660;5.7148431639;5.7061951477;5.6450119977,0.6078513081;0.6357266983;0.6467643102;0.6571833626;0.6724707810;0.6958818348,-6.6861098327e-01;-6.6559280573e-01;-6.5440090936e-01;-6.4375729610e-01;-6.2840441745e-01;-5.9732603023e-01
4,7,0.803359620475,0,0,6.690064e-01,-6.427458e-01,5.6039227519;5.7340580659;5.7159629688;5.7205825535;5.6970689934;5.6879150997;5.6348641119,0.6058911248;0.6331678573;0.6426418668;0.6498140261;0.6605304843;0.6750048464;0.6974899618,-6.6900643002e-01;-6.6591170800e-01;-6.5634400737e-01;-6.5087511161e-01;-6.3872586939e-01;-6.2388718719e-01;-5.9447002246e-01
4,8,0.809880038887,0,0,6.684659e-01,-6.422884e-01,5.5929734538;5.7189456090;5.7046501465;5.7120847699;5.7062752948;5.6791645244;5.6746386013;5.6254627926,0.6045877806;0.6311240623;0.6400990404;0.6456251092;0.6526983883;0.6628190589;0.6771934349;0.6988319210,-6.6846594522e-01;-6.6570126164e-01;-6.5709574021e-01;-6.5344294157e-01;-6.4675775566e-01;-6.3461724784e-01;-6.2024389293e-01;-5.9198231796e-01
4,9,0.815227729215,0,0,6.684710e-01,-6.419842e-01,5.5872342973;5.7070165653;5.6929440692;5.7057187690;5.6995305650;5.6913335288;5.6669854525;5.6636772361;5.6196939273,0.6033979583;0.6296613941;0.6381538082;0.6429242691;0.6484345725;0.6545060513;0.6649052818;0.6790206164;0.6999685650,-6.6847098473e-01;-6.6540113778e-01;-6.5728809903e-01;-6.5493806219e-01;-6.4965245486e-01;-6.4348406080e-01;-6.3131900294e-01;-6.1720267593e-01;-5.9010161280e-01
4,10,0.819603613054,0,0,6.680275e-01,-6.415298e-01,5.5794224996;5.6947487780;5.6827839916;5.6969735733;5.6940565341;5.6854608667;5.6796271127;5.6549524530;5.6545077701;5.6145395022,0.6025424035;0.6284271950;0.6367348409;0.6409949475;0.6456838627;0.6501806571;0.6563626296;0.6666740212;0.6806766002;0.7009860803,-6.6802754983e-01;-6.6487778825e-01;-6.5722336853e-01;-6.5549459626e-01;-6.5133191786e-01;-6.4656661187e-01;-6.4052147610e-01;-6.2832024974e-01;-6.1451937828e-01;-5.8841511483e-01
4,11,0.823308652112,0,0,6.679032e-01,-6.412052e-01,5.5745163610;5.6849949190;5.6734605043;5.6903535804;5.6872335886;5.6822332929;5.6746924929;5.6683018606;5.6460313475;5.6472201802;5.6114893407,0.6017286498;0.6274350724;0.6355534112;0.6394915671;0.6436599697;0.6472285076;0.6519463751;0.6578494232;0.6682441867;0.6820998417;0.7018408725,-6.6790318600e-01;-6.6446055532e-01;-6.5705764957e-01;-6.5593267378e-01;-6.5221672247e-01;-6.4869413172e-01;-6.4382834136e-01;-6.3792026687e-01;-6.2584446427e-01;-6.1226951158e-01;-5.8712938573e-01
4,12,0.826448482064,0,0,6.675486e-01,-6.407817e-01,5.5686366017;5.6749478377;5.6649051108;5.6829173461;5.6810195889;5.6766856642;5.6716323705;5.6629044018;5.6588975757;5.6373773648;5.6404906220;5.6082736359,0.6011086759;0.6265782875;0.6346107496;0.6383366257;0.6421092946;0.6451098751;0.6489171812;0.6533883170;0.6593059144;0.6696567586;0.6833837932;0.7025846047,-6.6754859528e-01;-6.6390379400e-01;-6.5678818125e-01;-6.5598726280e-01;-6.5276285912e-01;-6.4981880199e-01;-6.4606571759e-01;-6.4124431590e-01;-6.3555487413e-01;-6.2353981708e-01;-6.1021647052e-01;-5.8594952921e-01
5,1,0.643108350560,0,0,4.439279e-01,-4.439279e-01,4.7833375067,0.7537081084,-4.4392793409e-01
5,2,0.690708941937,1,0,6.213268e-01,-5.120787e-01,4.5469712757;5.6362360328,0.7698044022;0.6718324072,-4.0283047796e-01;-6.2132683336e-01
5,3,0.719900638475,1,0,6.448807e-01,-5.094915e-01,4.4456836121;5.6835432079;5.1411590946,0.7767602440;0.6519006701;0.7370528508,-3.8540475089e-01;-6.4488073161e-01;-4.9818887273e-01
5,4,0.738553728591,2,0,6.531556e-01,-5.232654e-01,4.3927164640;5.6852228867;4.9444225862;5.5562149124,0.7783410326;0.6422330365;0.7520529883;0.6844292143,-3.7888467331e-01;-6.5315557890e-01;-4.6098542635e-01;-6.0003605864e-01
5,5,0.752270213171,2,0,6.563991e-01,-5.225901e-01,4.3540815189;5.6766224245;4.8285325151;5.6109946806;5.2255752307,0.7802178147;0.6368926969;0.7580566947;0.6649913234;0.7295748889,-3.7326945636e-01;-6.5639909461e-01;-4.4278598183e-01;-6.2500870686e-01;-5.1548729026e-01
5,6,0.762412715219,3,0,6.581139e-01,-5.278982e-01,4.3284239017;5.6675825838;4.7656004688;5.6126173728;5.0374279980;5.5293535786,0.7807900561;0.6332883380;0.7612341301;0.6543145174;0.7431497213;0.6910158897,-3.7037458927e-01;-6.5811390274e-01;-4.3308284550e-01;-6.3475779337e-01;-4.8076268531e-01;-5.9029736040e-01
