# Q1.5 Tier 1: optimal-T linear CD-QAOA — 2026-04-29T14:42:42.061
D,p,T_star,ctilde_tier1,ctilde_warm,gap,gamma,beta
3,1,13.4802195544,0.671826173348,0.692450089730,+2.062392e-02,6.7401097772,6.7401097772
3,2,7.4890525489,0.732513658688,0.755906458453,+2.339280e-02,0.9361315686;2.8083947058,2.8083947058;0.9361315686
3,3,3.2433029537,0.725812529439,0.792398428764,+6.658590e-02,0.1801834974;0.5405504923;0.9009174871,0.9009174871;0.5405504923;0.1801834974
3,4,4.6183921147,0.761516434286,0.816876564852,+5.536013e-02,0.1443247536;0.4329742608;0.7216237679;1.0102732751,1.0102732751;0.7216237679;0.4329742608;0.1443247536
3,5,5.4863661878,0.778164189685,0.836380825133,+5.821664e-02,0.1097273238;0.3291819713;0.5486366188;0.7680912663;0.9875459138,0.9875459138;0.7680912663;0.5486366188;0.3291819713;0.1097273238
3,6,6.7554321943,0.791997380609,0.849897134598,+5.789975e-02,0.0938254471;0.2814763414;0.4691272357;0.6567781300;0.8444290243;1.0320799186,1.0320799186;0.8444290243;0.6567781300;0.4691272357;0.2814763414;0.0938254471
3,7,8.4461706146,0.809247422926,0.859784227119,+5.053680e-02,0.0861854144;0.2585562433;0.4309270722;0.6032979010;0.7756687299;0.9480395588;1.1204103876,1.1204103876;0.9480395588;0.7756687299;0.6032979010;0.4309270722;0.2585562433;0.0861854144
3,8,9.5592289920,0.824230166219,0.867392581017,+4.316241e-02,0.0746814765;0.2240444295;0.3734073825;0.5227703355;0.6721332885;0.8214962415;0.9708591945;1.1202221475,1.1202221475;0.9708591945;0.8214962415;0.6721332885;0.5227703355;0.3734073825;0.2240444295;0.0746814765
3,9,10.3716167525,0.832372378284,0.873474212669,+4.110183e-02,0.0640223256;0.1920669769;0.3201116282;0.4481562794;0.5762009307;0.7042455820;0.8322902332;0.9603348845;1.0883795358,1.0883795358;0.9603348845;0.8322902332;0.7042455820;0.5762009307;0.4481562794;0.3201116282;0.1920669769;0.0640223256
3,10,11.2461736519,0.837812655614,0.878413334854,+4.060068e-02,0.0562308683;0.1686926048;0.2811543413;0.3936160778;0.5060778143;0.6185395509;0.7310012874;0.8434630239;0.9559247604;1.0683864969,1.0683864969;0.9559247604;0.8434630239;0.7310012874;0.6185395509;0.5060778143;0.3936160778;0.2811543413;0.1686926048;0.0562308683
3,11,12.4431719821,0.843003121628,0.882510574357,+3.950745e-02,0.0514180660;0.1542541981;0.2570903302;0.3599264623;0.4627625944;0.5655987265;0.6684348585;0.7712709906;0.8741071227;0.9769432548;1.0797793869,1.0797793869;0.9769432548;0.8741071227;0.7712709906;0.6684348585;0.5655987265;0.4627625944;0.3599264623;0.2570903302;0.1542541981;0.0514180660
