# swarm chain: k=5, D=7, p=1-12, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.6461863546  pop=100
# gen 10: best=0.6461863546  pop=100
5,7,1,0.646186354604,11302,8.2,5.844930491992451,1.7708810777397395
# gen  1: best=0.7008179027  pop=100
# gen 10: best=0.7008179027  pop=100
5,7,2,0.700817902678,22501,1.0,5.938941411098752;3.6616255073232993,1.798318109075491;2.993041810629725
# gen  1: best=0.7344287910  pop=100
# gen 10: best=0.7344287910  pop=100
5,7,3,0.734428791034,31893,2.7,3.442252811795284;3.5969081087001915;0.5033653405936873,0.23119076694405316;2.955181869164585;1.4450461132940866
# gen  1: best=0.7399949016  pop=100
# gen 10: best=0.7459870275  pop=100
5,7,4,0.745987027539,35205,9.1,2.8597695182294425;3.5671274336447207;2.587734511649197;2.400704632830176,1.3423328626881115;1.7873119763194256;1.472156003766684;3.053048423897374
# gen  1: best=0.7622358763  pop=100
# gen 10: best=0.7636282337  pop=100
5,7,5,0.763628233706,38495,57.6,3.028737192458934;2.7675641099472608;0.41588468470016965;2.695960607027762;3.632113605562464,0.8647172670383497;1.3546716705587778;1.384037474013103;1.7403372694526997;1.463529575560614
# gen  1: best=0.7708816937  pop=100
# gen 10: best=0.7715289944  pop=100
5,7,6,0.771528994350,44477,307.5,2.8858827142168852;3.5331419166213385;5.851077283500812;3.231300338423821;5.739760074942419;5.762127337962543,1.7959188269455515;1.347573452547388;2.792316087638829;1.2771638876362221;2.9852926512894213;1.48749605936583
# gen  1: best=0.7505335850  pop=100
# swarm chain: k=5, D=7, p=1-12, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.6461863546  pop=100
# gen 10: best=0.6461863546  pop=100
5,7,1,0.646186354604,11150,9.4,5.844930491992451,1.7708810777397395
# gen  1: best=0.7008179027  pop=100
# gen 10: best=0.7008179027  pop=100
5,7,2,0.700817902678,22520,1.0,5.938941411098752;3.6616255073232993,1.798318109075491;2.993041810629725
# gen  1: best=0.7344287910  pop=100
# gen 10: best=0.7344287910  pop=100
5,7,3,0.734428791034,31724,2.8,3.442252811795284;3.5969081087001915;0.5033653405936873,0.23119076694405316;2.955181869164585;1.4450461132940866
# gen  1: best=0.7399949016  pop=100
# gen 10: best=0.7459870275  pop=100
5,7,4,0.745987027539,35156,9.4,2.8597695182294425;3.5671274336447207;2.587734511649197;2.400704632830176,1.3423328626881115;1.7873119763194256;1.472156003766684;3.053048423897374
# gen  1: best=0.7622358763  pop=100
# gen 10: best=0.7636282337  pop=100
5,7,5,0.763628233706,38458,54.8,3.028737192458934;2.7675641099472608;0.41588468470016965;2.695960607027762;3.632113605562464,0.8647172670383497;1.3546716705587778;1.384037474013103;1.7403372694526997;1.463529575560614
# gen  1: best=0.7708816937  pop=100
# gen 10: best=0.7715289944  pop=100
5,7,6,0.771528994350,44479,275.7,2.8858827142168852;3.5331419166213385;5.851077283500812;3.231300338423821;5.739760074942419;5.762127337962543,1.7959188269455515;1.347573452547388;2.792316087638829;1.2771638876362221;2.9852926512894213;1.48749605936583
# gen  1: best=0.7505335850  pop=100
# gen 10: best=0.7736864963  pop=100
5,7,7,0.773686496317,190582,5327.4,3.3922576416814265;2.764575373378444;0.43028350781552666;3.232065587223618;3.7776689390056575;0.07136283883843035;3.6503437786378643,1.793869820948418;1.3484597444972268;1.212481037349062;2.8355871741794885;1.4307080674591532;1.87281183558015;3.057371663352951
# gen  1: best=0.7836000265  pop=100
# gen  1: best=0.7836000265  pop=100
