# Best QAOA angles for warm-starting — generated 2026-04-07
# Use with: julia --project=. scripts/swarm_chain.jl (reads this for warm start)
k,D,p,ctilde,source,gamma,beta
3,4,13,0.880732724898,origin/stephen-apr6-results,2.9259240447541752;0.4063401256928396;0.4513417506583604;0.47274681062141793;0.48161656854148177;0.48674832574684057;0.49372631571338044;0.5014696778091581;0.511630003989789;0.5310145803831907;0.5782399718531627;0.6510096305686411;0.7529080023751171,1.9509369783464787;0.3091208329827633;0.2868451526519101;0.27977384718906523;0.2761445353676687;0.27466681388171077;0.27337828819697624;0.26917572429081366;0.2615467055727334;0.24748930718256765;0.2194996827237565;0.17667322880083194;0.08214330466175507
3,5,13,0.842939019160,origin/stephen-apr6-results,3.338850450956096;3.5110132157807294;3.542575718532385;3.557134413791582;3.5666026764264207;3.572884679813694;3.5803022044023063;3.5982089762153193;3.622213140401806;3.6776704909807036;3.7520314606139746;3.833221139741797;3.8377856788298432,2.756638887585415;0.31477667288583533;2.8533889504781107;0.2816697813168935;2.867380920371862;0.2687098421374101;2.877774749505637;0.24399983491020524;2.925598733042194;0.18775585982988435;2.992566348731548;0.11069510031860297;3.0821494034848937
3,6,14,0.770589130208,origin/stephen-apr6-results,0.1737061024854345;0.341884894507758;0.3336824113508096;0.3725167393590498;0.3856388923188974;0.3845189904129939;0.4344712839128495;0.44440744096140766;0.4537015011194613;0.5299995374654224;0.608361779176718;0.5239573820394088;0.5459008660983115;0.5770837663112133,0.38392578218562257;0.29871257110589755;0.2830882406595864;0.2106515799779568;0.2657869159190174;0.2256891690824064;0.2712596925256812;0.201970575923991;0.20905235314238566;0.171155771862747;0.11821027311823873;0.045861751243302634;0.04381133637700376;0.04305293160508725
3,7,11,0.778760214189,local-20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2580077324995864;3.437855166773294;2.7932523577991484;3.032245176194622;0.4898594120412064;5.922187888101452;5.91186841943535;5.897219238516073;5.869548679103173;5.814303196565583;5.7568138604461065,2.5175212106351843;1.225124449769308;2.099428380105147;0.1769770929664053;1.2883505198997414;2.863567046995858;2.875750809041636;2.8949361502254147;2.924667898184309;2.9748929500031767;3.059884512000634
3,8,11,0.767130587963,local-20260331T043309-k3-d8-p1-12-r2-i320-s1234,2.980161460888664;0.28865444302895915;0.314357442311905;0.3241407184588411;0.3281789374436612;0.33184277035818777;0.3530380461529652;0.3781337331660862;0.41992530379996285;0.47391464309100984;0.4826063005711482,1.9549712574919396;0.3155483559355014;0.29111887521277224;0.27735723441612625;0.2625213259384555;0.2564268399235414;0.2409556241801624;0.21110946362805205;0.16962388864966865;0.10962722269933566;0.05156220693412435
4,5,13,0.810109928847,origin/stephen-apr6-results,0.23480849331486103;0.39684204675830725;0.424917224832708;0.43160846193606534;0.4387000379575199;0.43852448198651267;0.4407935444519778;0.47567477039217604;0.5101795434532983;0.5726626993592813;0.6434383042077763;0.6473465200831058;0.6473465200831081,1.860397470137685;0.22283478406059948;0.21097703565763518;0.21093450116242932;0.21528930240496089;0.20738574569734872;0.21107376356102633;0.20106117546659724;0.19216843504448886;0.13351618146143554;0.08804406987313601;0.04674445225070405;0.046744452250702645
4,6,12,0.769951357219,origin/fleet5-vm0,0.1746293997919014;0.30476064567578703;0.37112620472582714;0.36227438465089706;0.3422108228304876;0.38578987659716374;0.4114632984302413;0.45046512965595753;0.4760102769555205;0.5079866347328825;0.5657489729317703;0.5834052344916597,0.35666549059810204;0.2729912834884052;0.27815584468017174;0.24871021465600343;0.3183260528391854;0.260006371887555;0.25020320929436113;0.2336399777886633;0.21639267124250827;0.1990785459208589;0.1579673937508322;0.07953469803587201
4,7,11,0.801782988637,origin/fleet3-vm2,0.2085169249852291;0.3196158418320338;0.36607304980889815;0.36006713788544337;0.3643885234588698;0.3692981326195111;0.39119433161723915;0.41507734189576545;0.46792186219894155;0.4999426960654918;0.49139947535966727,0.29071537528065616;0.22507894077131502;0.2245068283215699;0.203384752822114;0.20513512626014743;0.20220775860616738;0.19551141684276757;0.17518577881404157;0.12034319476383275;0.06193495269183811;0.03365754430981135
4,8,11,0.818175680263,origin/stephen-apr6-results,2.955028502397141;2.8338830974664235;2.8163162594636737;2.8086245654294952;2.799510172148851;2.798790225759098;2.777565800226772;2.7399716945826325;2.6915112955065292;2.6879026930893857;2.6879026930893857,1.2946454282735298;1.3327435707306876;1.3593213825795296;1.3651730255722636;1.3673031318407978;1.3754228423298038;1.3892050790242918;1.4201315559369616;1.4614593488413257;1.5233098133402683;1.5233098133402683
5,6,11,0.784897456207,origin/fleet3-vm4,0.24096582955107926;0.37979466110396887;0.3974950945728711;0.3991884024058802;0.40105918771436383;0.40562161796665225;0.41809717670530444;0.4658053509742718;0.5342189191128699;0.5411419093316996;0.5406654219277071,0.22013034157600242;0.18538202552130936;0.17980862132888695;0.1764318145188431;0.17387533994884619;0.1729865930443121;0.16414384554687958;0.1353243968844811;0.09730470244031218;0.04679706131016982;0.04332627872360365
